epoch,num_heads,lambda_bal,train_loss,val_loss,val_score,head_cosine_train,head_cosine_val,balance_loss_train,balance_loss_val,router_entropy_norm_train,router_entropy_norm_val,lambda_hard,hard_organ_routing_loss_train,hard_organ_routing_loss_val,val_router_util_H1,val_router_util_H2,val_router_entropy_dec1,val_router_entropy_dec2,val_router_entropy_dec3,val_router_entropy_dec4,val_util_dec1_H1,val_util_dec1_H2,val_util_dec2_H1,val_util_dec2_H2,val_util_dec3_H1,val_util_dec3_H2,val_util_dec4_H1,val_util_dec4_H2,train_liver_pos_dice,val_liver_pos_dice,val_liver_pos_iou,train_spleen_pos_dice,val_spleen_pos_dice,val_spleen_pos_iou,train_right_kidney_pos_dice,val_right_kidney_pos_dice,val_right_kidney_pos_iou,train_left_kidney_pos_dice,val_left_kidney_pos_dice,val_left_kidney_pos_iou,train_stomach_pos_dice,val_stomach_pos_dice,val_stomach_pos_iou,train_pancreas_pos_dice,val_pancreas_pos_dice,val_pancreas_pos_iou,train_gall_bladder_pos_dice,val_gall_bladder_pos_dice,val_gall_bladder_pos_iou,train_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_iou,train_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_iou,train_duodenum_pos_dice,val_duodenum_pos_dice,val_duodenum_pos_iou,train_esophagus_pos_dice,val_esophagus_pos_dice,val_esophagus_pos_iou,train_bladder_pos_dice,val_bladder_pos_dice,val_bladder_pos_iou
1,2,0.1,8.071323297172388,3.066406367448743,0.5027695082735976,0.7942507066115146,0.7614886789094835,0.0010395936278300739,0.019478387957281712,0.8746749736625792,0.855326753760141,0.0,0.0,0.0,0.49682658802625,0.503173401093537,0.9839805702503577,0.8646182407056934,0.9258861280893252,0.6468220788335043,0.49896851817226195,0.5010314685822614,0.5020445225054986,0.4979554652627093,0.4443973902942372,0.5556025997040763,0.5418959213695288,0.45810406555394195,0.7380383951708459,0.8406232992454485,0.764836367278647,0.6690719183456976,0.8607378439308604,0.7927504377935509,0.5289795982314373,0.785994319589937,0.708766908431733,0.6223866077886476,0.7249655324105233,0.6726861519200931,0.48289960981758495,0.7091817129183712,0.5960919483594654,0.3473235175293639,0.5640435948144272,0.42864994274797114,0.3360703849455357,0.5206709619580048,0.4029497728168804,0.0045855090105837056,0.002846024423732412,0.0015471837605481292,0.01921535932839839,3.831294724852509e-09,3.831294724852509e-09,0.28665301321711517,0.43357758089955645,0.30373834872477423,0.07231895007792963,0.013615424318336605,0.008046536275535907,0.5139006150695866,0.5769778009426779,0.4701936119407224
2,2,0.1,4.761599954697574,1.9316129184723985,0.6786739587778997,0.7323856245064461,0.7221346870571578,0.0012420352841662932,0.021327959970978173,0.8313352253572149,0.8187755940993087,0.0,0.0,0.0,0.4981278345292928,0.5018721541174415,0.9801267649040741,0.8577328604094836,0.8754804237088919,0.5617623232524681,0.4973574529429412,0.5026425344873718,0.4904479314815971,0.5095520533807153,0.5213105596787805,0.4786894278866904,0.4833953883372197,0.516604598991725,0.8799965311522301,0.8845662231436682,0.8232409943834601,0.8728938925771024,0.8981948671334599,0.843706590254074,0.8743662353973826,0.8951165487933956,0.8400257155331128,0.8817348875294919,0.8878769152942071,0.8323303341159514,0.7649628397963582,0.7779162267764477,0.684905607715879,0.6618558046112665,0.6336301963838752,0.5044118787535538,0.6868415368333181,0.6666996786517329,0.5553753722065887,0.35120549466138323,0.46361826316870497,0.337736490988043,0.06937193365271792,0.4726479172213344,0.3408367133788174,0.5963137597912144,0.549922692651592,0.41602017135001845,0.0809231795179069,0.237207777463935,0.1509149814644493,0.7126749196137236,0.7766901986524433,0.6975084362116518
3,2,0.1,2.9764812135162924,1.433947179880172,0.741570931889343,0.721656270239472,0.713645866398368,0.001313228971026473,0.012079416357353224,0.835809300110398,0.8318262827369362,0.0,0.0,0.0,0.5113744655298809,0.4886255229816956,0.9801463168494555,0.841650130121616,0.8785191406738732,0.626989541140273,0.5085294783926334,0.49147050795641617,0.5052918130172894,0.4947081746157605,0.4590889966271632,0.5409109902625181,0.5725875744879111,0.4274124149359813,0.9103981908902171,0.8998391836041593,0.8438319430598947,0.9027113633414247,0.9123882657958431,0.8598022218159423,0.9147904859371097,0.9087566237767742,0.8553689405017599,0.9164053903858741,0.9006604844368054,0.8448337556065604,0.8155642283969896,0.7851714151474253,0.6955660162172536,0.715471009037525,0.6700542204009857,0.538966713874072,0.7543693672150278,0.6846941717688682,0.5693638091355797,0.5926006836229537,0.5444905240402849,0.4123433377830981,0.5914653930070416,0.5336333928311209,0.4013594416529192,0.666417547054206,0.5738829273986813,0.44153675514341395,0.5278349470777959,0.6943743673557612,0.5623673431415993,0.7851179590941989,0.7909056061154061,0.7197780734540444
4,2,0.1,2.175880469409595,1.351201198100028,0.7483200300336003,0.70856899426854,0.7224966640375099,0.0012712487130431824,0.006840228373524689,0.8335167714571211,0.845232496591382,0.0,0.0,0.0,0.5161089742399938,0.483891011771161,0.9823716904570997,0.8376762352022183,0.8772481217676279,0.683633940830793,0.5021508908461011,0.4978490950298958,0.5030150532452158,0.49698493263078114,0.5401010184871907,0.45989896738880615,0.5191689349896783,0.48083105352189803,0.9223922846406579,0.9088881295133242,0.8554519922205269,0.9165242831307272,0.9179618688278677,0.8683167102002327,0.9278338947853277,0.8988446872193776,0.84260762574551,0.928948031942901,0.895236627283287,0.8419746456105208,0.8409045939213315,0.8072496198497581,0.7237123450160164,0.7455715854301663,0.6484908541211863,0.5218921639488412,0.78399377353751,0.674201597237431,0.5821685990916903,0.6489257602543118,0.5736834224067743,0.4354874071652871,0.6566386803583374,0.5964320225349276,0.4662195547935273,0.7017596716606939,0.5769492425131166,0.44685717188781626,0.7412733671958932,0.681083271804505,0.5617752567731081,0.8196640884445037,0.8008190170916489,0.7247332273154116
5,2,0.1,1.925616398772853,1.2612044117864443,0.7658845064207022,0.7016130773168856,0.6903914572700621,0.0009392429254039229,0.012105942295652091,0.8323072386031767,0.8190575952973225,0.0,0.0,0.0,0.5346519197601309,0.4653480657103921,0.9806635755530291,0.8106516519911976,0.8671164643737465,0.617798683865,0.5144516799320169,0.48554830472755867,0.5195065078551537,0.4804934805212648,0.4921258023671823,0.5078741840494463,0.6125236941573301,0.38747629124561406,0.9287158489421672,0.9121910403870316,0.8617582585069639,0.9239729545156549,0.9159311364961821,0.8663983831634806,0.9311338697936996,0.9163674659958481,0.8670897739313351,0.9355731865865006,0.9153181118014643,0.8670073097106882,0.8568181133427553,0.8016471616856322,0.7167187256795807,0.7644502707298587,0.6795567751521783,0.5517956783438672,0.8082306090085738,0.6893990664711879,0.6071720366596318,0.6770614019786649,0.573285401620034,0.434835444009275,0.6911061807857173,0.6263275388712872,0.49263058179188024,0.7272402048630078,0.5878904985343089,0.4626335231683524,0.7776418674248332,0.7440896949755322,0.6205576450784543,0.8321778848646968,0.8286101850577405,0.7538016460394482
6,2,0.1,1.7781888086172133,1.319221445560049,0.7603543895600761,0.6857055445706839,0.6894358476273327,0.0011352375164426086,0.010381716522802112,0.8200091227450979,0.8177719081069877,0.0,0.0,0.0,0.4936298641488125,0.5063701224705529,0.9811006210017907,0.8097748976716108,0.8356835988103127,0.6445285117680253,0.5109777222820421,0.4890222617017439,0.4918447620744338,0.5081552249504054,0.45304595059007746,0.5469540367726566,0.5186510221217495,0.4813489656464583,0.9330127487465028,0.9162854023889553,0.8650833333805613,0.9310691865330246,0.9136013289990755,0.8672402184123882,0.9351877062868795,0.9172551017223592,0.8649918293333244,0.9388621278372626,0.9217150654382131,0.8731726907181202,0.8692997208570924,0.7840268321438034,0.7021697233607935,0.7790734659662705,0.6586098325467449,0.532955521117292,0.8222553868990555,0.7194069904362114,0.6221707306671549,0.695065203436387,0.5719675607977962,0.43919388883923366,0.7124810075868847,0.5956893578812636,0.4686254001576896,0.7459517750233018,0.565290009142739,0.44104381167204454,0.7971040892363196,0.7426223709833428,0.6220314542711136,0.8453791178987431,0.8177828222404079,0.7431890597218309
7,2,0.1,1.6699429081136645,1.2696531208248445,0.7744628674177401,0.6899202152115261,0.687869264155018,0.0009536751416463705,0.0052334591683840925,0.8238739671735597,0.8235974574034988,0.0,0.0,0.0,0.4962373901656966,0.5037625983458798,0.9775507105451052,0.794517681712196,0.8643577478640204,0.6579636880059361,0.5123611921085522,0.48763879397018156,0.5041063932064169,0.495893594494212,0.49386829982539154,0.5061316878752373,0.47461367058916154,0.5253863179224149,0.9370948458135492,0.9214442556132015,0.8731709996006197,0.933962422581937,0.915306852035033,0.8683197989004933,0.9376606260350538,0.9270422861479956,0.8779070300021765,0.9421607667543797,0.9096605168379469,0.8608369327051782,0.8795097369939989,0.7898139350311565,0.7120515622879036,0.7901166165455575,0.6898970258310767,0.5628052061852832,0.8329901857709897,0.7393708400341211,0.6481207357049292,0.7126641780560208,0.6119184124259877,0.4724636977138475,0.7283542619251233,0.6308432182024439,0.5036539100907985,0.7619688296270555,0.5833696306322196,0.46453307293390306,0.8113822965422426,0.7603251935317908,0.6404847327023541,0.8554961629005645,0.8145622426899077,0.7435104260032916
8,2,0.1,1.5892866787531938,1.2275302957545557,0.7817744210971886,0.6894606839711482,0.7063308294668219,0.0007701585828820338,0.00591168615926566,0.8236158274568087,0.8364925808917367,0.0,0.0,0.0,0.5052990706599488,0.49470091474299527,0.9804075311641304,0.818625002220915,0.8664305264176695,0.680507256938757,0.509740995238968,0.49025898989366024,0.5185789465904236,0.4814210407047315,0.47779614138765397,0.5222038456371852,0.5150802082755939,0.48491977895198224,0.940394122776623,0.9288925617881579,0.8836005353703634,0.9371205858279312,0.9214423674816791,0.8732608148547674,0.9392396426986148,0.9209696729919225,0.8722377109453283,0.9431945691494653,0.909344746246907,0.8620939988368405,0.8868090000194849,0.7960682768674134,0.7202827740220624,0.8011607261754945,0.7090182318492627,0.5850186233733204,0.8433466519252123,0.703202080131962,0.6135044836245885,0.7213778579380477,0.6674134913271508,0.5264098595904741,0.740332318802119,0.6246068185172439,0.4974900976087075,0.7726819274520467,0.5966964540173048,0.4770380530043715,0.8218581501937654,0.7719353546046631,0.6542631350753073,0.861503852715182,0.8317029973425965,0.7592691055845883
9,2,0.1,1.514043583125908,1.2367732145592625,0.7776277005613954,0.7005428612409981,0.6940026626565289,0.0007022273439351325,0.005713070320371233,0.8345526638922917,0.8307735346882792,0.0,0.0,0.0,0.5136923288542127,0.4863076551971522,0.9763890822458159,0.7967697514428033,0.8587221411350363,0.6912131635915666,0.5164869735165248,0.483513010737577,0.5017897136627681,0.4982102722132287,0.48954224248592004,0.5104577433900769,0.5469503916985864,0.4530495946504632,0.9422520763204897,0.923992456630514,0.8771543743817537,0.9388032548176648,0.9187582506031958,0.8740859803085287,0.9414412885588396,0.9260030798164349,0.8791224571116111,0.9437681715074181,0.9177912646020158,0.8701059578958584,0.8918326107907586,0.8297976948230255,0.7548640124179916,0.8094261270175452,0.7040444415058437,0.5826005470239102,0.8469555194495182,0.7067157785182892,0.6226392146518631,0.7337766780936757,0.63394991095263,0.497453996631424,0.7516810535724814,0.6289502760050489,0.5042625979072479,0.7840362668600795,0.6024796984644588,0.47801951872637366,0.8297090601527017,0.7525751436570365,0.6345152341895491,0.8688707813324665,0.7864744111582528,0.7155110546215917
10,2,0.1,1.462877452411611,1.1882300416885265,0.7910784211387392,0.696980438082077,0.6883105222059756,0.0006793577920213306,0.006316118598041447,0.8329402143314233,0.8235452544121515,0.0,0.0,0.0,0.49312580199468703,0.5068741855707839,0.9797964265016742,0.797448797290828,0.8537739574774053,0.66316183759512,0.5070209529529623,0.492979032112087,0.5002655025377295,0.49973448333826737,0.5034352438925616,0.49656474353775143,0.461781508054863,0.538218481132503,0.9442495063602511,0.922836413430194,0.8748323206376556,0.9410541971205096,0.9228377079024016,0.8779996896185208,0.9427006798593015,0.9295384286020245,0.8837872717347459,0.9452875018837021,0.9290074864564951,0.8812926908507017,0.8975004033694735,0.8014611305383308,0.7286359920924501,0.8149471606464296,0.7199808254804392,0.5993435622170691,0.8552509574401171,0.7298569584587072,0.6438414176516606,0.744432989867063,0.6639916641873947,0.5253217167778704,0.7614032244100241,0.6537922596818075,0.5246058520905195,0.7949622390441938,0.6141373398871142,0.48948320655888605,0.8372394201554462,0.7720368846846548,0.6512272232150855,0.8728788919344562,0.8334639543553056,0.7648389782981826
