stage,head,r_all,r_fg,r_bg
dec1,1,0.507744413841552,0.34534199239389235,0.5169533740435833
dec1,2,0.4922555871854538,0.6546580086151191,0.4830466269844429
dec2,1,0.4938216533903462,0.5506570630281512,0.4905988256716759
dec2,2,0.506178346955862,0.449342936830979,0.5094011747021518
dec3,1,0.5208670463773343,0.5209359487460645,0.520863139297835
dec3,2,0.4791329533271717,0.4790640523398764,0.4791368603283372
dec4,1,0.4788554697791293,0.22412871858930164,0.4932996418129549
dec4,2,0.5211445284677582,0.7758712833518759,0.5067003562244494
