config,organ,dice,delta
baseline,liver,0.9275091883559891,0.0
baseline,spleen,0.9194636144887965,0.0
baseline,right_kidney,0.9305693726179058,0.0
baseline,left_kidney,0.9190354730472916,0.0
baseline,stomach,0.8264110448514583,0.0
baseline,pancreas,0.707561251896084,0.0
baseline,gall_bladder,0.7155522888820922,0.0
baseline,right_adrenal_gland,0.6709819819065342,0.0
baseline,left_adrenal_gland,0.6407591193589777,0.0
baseline,duodenum,0.6336741347586827,0.0
baseline,esophagus,0.7708368010108212,0.0
baseline,bladder,0.808768943548209,0.0
uniform_all,liver,0.9208632309409167,-0.0066459574150723455
uniform_all,spleen,0.8996078838653906,-0.019855730623405954
uniform_all,right_kidney,0.9106301391787077,-0.019939233439198123
uniform_all,left_kidney,0.9092390754051431,-0.009796397642148458
uniform_all,stomach,0.8076139362290642,-0.018797108622394143
uniform_all,pancreas,0.6850563743224978,-0.022504877573586213
uniform_all,gall_bladder,0.692876639618813,-0.02267564926327925
uniform_all,right_adrenal_gland,0.6509407535548428,-0.02004122835169142
uniform_all,left_adrenal_gland,0.5797529412652136,-0.061006178093764074
uniform_all,duodenum,0.5982247369926724,-0.035449397766010304
uniform_all,esophagus,0.7454112207970435,-0.02542558021377772
uniform_all,bladder,0.7047235216347728,-0.10404542191343624
uniform_dec4_only,liver,0.9279724856217703,0.000463297265781204
uniform_dec4_only,spleen,0.9169512993372811,-0.0025123151515153985
uniform_dec4_only,right_kidney,0.9288762041242009,-0.001693168493704933
uniform_dec4_only,left_kidney,0.916852064754652,-0.0021834082926396325
uniform_dec4_only,stomach,0.819328463792629,-0.007082581058829307
uniform_dec4_only,pancreas,0.7033113522803104,-0.0042498996157736
uniform_dec4_only,gall_bladder,0.7113137246774447,-0.004238564204647521
uniform_dec4_only,right_adrenal_gland,0.6725884016986604,0.001606419792126168
uniform_dec4_only,left_adrenal_gland,0.6433228271407804,0.0025637077818027043
uniform_dec4_only,duodenum,0.6266949778857244,-0.006979156872958359
uniform_dec4_only,esophagus,0.7643300604540855,-0.006506740556735724
uniform_dec4_only,bladder,0.7845306617977142,-0.024238281750494806
uniform_dec3_only,liver,0.9242565136147913,-0.0032526747411977253
uniform_dec3_only,spleen,0.9153165995090015,-0.004147014979795083
uniform_dec3_only,right_kidney,0.9212224399772669,-0.009346932640638905
uniform_dec3_only,left_kidney,0.9183615066833719,-0.000673966363919698
uniform_dec3_only,stomach,0.8191831289532889,-0.007227915898169401
uniform_dec3_only,pancreas,0.702642981822654,-0.004918270073430042
uniform_dec3_only,gall_bladder,0.7117103464030384,-0.0038419424790537837
uniform_dec3_only,right_adrenal_gland,0.6696972959373221,-0.0012846859692121626
uniform_dec3_only,left_adrenal_gland,0.6252747268339092,-0.015484392525068502
uniform_dec3_only,duodenum,0.6195747403315057,-0.014099394427177003
uniform_dec3_only,esophagus,0.7671338962881189,-0.0037029047227022938
uniform_dec3_only,bladder,0.7779728688500904,-0.030796074698118625
uniform_dec2_only,liver,0.9282173260421416,0.0007081376861525213
uniform_dec2_only,spleen,0.9187581378111715,-0.0007054766776249943
uniform_dec2_only,right_kidney,0.9256376775992681,-0.004931695018637772
uniform_dec2_only,left_kidney,0.9135155432599046,-0.0055199297873870234
