epoch,num_heads,lambda_bal,train_loss,val_loss,val_score,head_cosine_train,head_cosine_val,balance_loss_train,balance_loss_val,router_entropy_norm_train,router_entropy_norm_val,lambda_hard,hard_organ_routing_loss_train,hard_organ_routing_loss_val,train_liver_pos_dice,val_liver_pos_dice,val_liver_pos_iou,train_spleen_pos_dice,val_spleen_pos_dice,val_spleen_pos_iou,train_right_kidney_pos_dice,val_right_kidney_pos_dice,val_right_kidney_pos_iou,train_left_kidney_pos_dice,val_left_kidney_pos_dice,val_left_kidney_pos_iou,train_stomach_pos_dice,val_stomach_pos_dice,val_stomach_pos_iou,train_pancreas_pos_dice,val_pancreas_pos_dice,val_pancreas_pos_iou,train_gall_bladder_pos_dice,val_gall_bladder_pos_dice,val_gall_bladder_pos_iou,train_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_iou,train_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_iou,train_duodenum_pos_dice,val_duodenum_pos_dice,val_duodenum_pos_iou,train_esophagus_pos_dice,val_esophagus_pos_dice,val_esophagus_pos_iou,train_bladder_pos_dice,val_bladder_pos_dice,val_bladder_pos_iou
1,1,0.1,8.14325392123036,2.9260802192804456,0.5275823094824508,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.6864429916564376,0.7968926912297489,0.7182087204093722,0.6175653630399731,0.8691623836466198,0.8096614532329008,0.6389709022099594,0.8595808577491266,0.7871999869799133,0.5727893455464435,0.8374893971506048,0.7818324939610398,0.5499882522034247,0.7089802895810235,0.6136578807065336,0.3509989754464974,0.5669535995919012,0.43378814298274565,0.3119390586120801,0.6211997443904029,0.5168440548649031,0.018343269683505952,0.0017061700607059914,0.0009529953819180946,0.005844112440001368,3.3184761383787418e-09,3.3184761383787418e-09,0.20900547879489795,0.4042683668678588,0.27639013623626807,0.07562771720788236,0.06727591484829247,0.03661268708810161,0.4838487888345198,0.597478295354648,0.5244854450864439
2,1,0.1,4.795529307541723,2.0023680828200656,0.6844240215601642,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.8388405306659193,0.8725170948898169,0.8153419135588178,0.8751943369763104,0.8885379630422712,0.8309204668753607,0.8773930765445843,0.8503552339355089,0.7910324414693056,0.8890360588162797,0.8908274687202817,0.8329543862936403,0.7696018495375563,0.7639029365935532,0.6760239905112568,0.6586945073610173,0.6368970276780437,0.5061484320263704,0.6923269186123484,0.6705684573755528,0.5763159930541022,0.21425590992204988,0.4704396753238888,0.3435218253497865,0.2584237611289606,0.5150031521863064,0.380959135985329,0.5674215466380806,0.5473879718965854,0.4136547223755315,0.2326638684526743,0.36778106906479496,0.2729335258269477,0.7003887525007262,0.7388702080153673,0.6618344240916947
3,1,0.1,2.963498639603149,1.408316966164217,0.7459691483039582,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.8970215429751567,0.912959747795616,0.8589771159998579,0.9102804619132453,0.8955596014295124,0.8363707366675129,0.9006249743739907,0.9111768770020253,0.8525307405427957,0.9228677200931145,0.9054163477841428,0.8434087365093239,0.8204059022106377,0.7754897109286727,0.6923201973203804,0.7182870861549908,0.6555693704494704,0.5232876083430498,0.7620053234277623,0.7003122684855179,0.5992805132943049,0.5618722376996275,0.5772567187588595,0.4322778701184894,0.6170265776848505,0.5710097168988656,0.4308673776663804,0.6613652054085583,0.569857422442413,0.4405363136907989,0.5748996554297603,0.6690364084492725,0.5411858218211723,0.7801575126233226,0.8079855892231309,0.7306273920811559
4,1,0.1,2.2099732220141126,1.331200464150676,0.7504908823439168,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.920338561600468,0.9141723406937993,0.8618225541894035,0.9192951389048781,0.9182273736331453,0.8661558342860242,0.9247938506379476,0.9119869758325767,0.8596832202579593,0.9318804715303608,0.9048313172203872,0.853364021792677,0.8417659235158191,0.7975404959740596,0.7103385176970313,0.7415729582458712,0.6656205787463431,0.5408705660325434,0.785165633724128,0.7019763340867716,0.60546080989351,0.6255039856658703,0.5366667905688054,0.4022535458001359,0.664654657477821,0.6024533561874073,0.4719464059628008,0.698469141801324,0.5821920843870502,0.4561623647166872,0.7405350280761042,0.6794155642307175,0.5533525226211526,0.811909255415637,0.7908073765659381,0.7128769069065612
5,1,0.1,1.9406235334653452,1.3390939116003973,0.7616575873819782,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.928836443400931,0.9197750476830356,0.8694884930831847,0.9264499750454815,0.9225446675630515,0.8713449685913162,0.9321886754496491,0.9117489143243843,0.8597839299855952,0.9366696887797811,0.9111376323689491,0.858043821226943,0.8576529205975456,0.7801539640424109,0.7049168667743273,0.7631204351841996,0.687416959390284,0.5602222048962338,0.8105339298850041,0.7237271691964643,0.6260837951296992,0.6629070032109777,0.6044247575232187,0.46202365252422134,0.6931539089547285,0.6192845488539478,0.486089775436301,0.7296527068653105,0.5957028611845971,0.4692288661872074,0.779208550022663,0.7069620098796134,0.5839509617745582,0.8297149047673078,0.7570125165737813,0.6853521934945564
6,1,0.1,1.7805428133216639,1.2619839672192834,0.7712846002140904,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9329407333250702,0.9248687036820661,0.876694666178564,0.9310093961583122,0.9209147393128126,0.8733009733295636,0.9347461739034371,0.9173119085934321,0.8674431812597573,0.9397809675327782,0.9211843054042915,0.8757990691037386,0.872463920486078,0.792704494708052,0.7123323378480134,0.7804850446116096,0.6868486085845221,0.5604731710615888,0.8241571912030538,0.7277211845983892,0.6312654703560479,0.6860229216736731,0.6144690597235652,0.46715662245973966,0.71525301707229,0.6074109858420803,0.4828618409093667,0.7470124726917615,0.5829766466040357,0.4579540402745388,0.7999463930074193,0.7299776795196872,0.6079821798189872,0.8424800067849879,0.8290268859961504,0.7548775127101774
7,1,0.1,1.6676248636408315,1.163261938229673,0.7827427530998291,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.935746783072036,0.9255702890009593,0.8776019568586924,0.9330452676966333,0.9229822652450399,0.8713851578274749,0.9387795290321884,0.9206738147305985,0.8709418345990397,0.9426126774362511,0.9163952086439875,0.8667136321705297,0.8814925017243008,0.8056319589227797,0.7295291231424598,0.7935733613211977,0.6949465243722385,0.5684958236971931,0.8338039325600608,0.7251846157415002,0.6306358693307079,0.7047988609333822,0.6408883930798223,0.49516588144053675,0.7319042081291087,0.6619732391882144,0.5284970493177196,0.7663146210400763,0.6169751146499298,0.4920583485855003,0.8126569494714905,0.7507806080577307,0.6308246676099339,0.8544835942477476,0.8109110055651496,0.7363504443835331
8,1,0.1,1.5804808759632172,1.2971277998247732,0.7692994552278557,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9390350686907024,0.9246239282692439,0.878219937275793,0.9373354821446772,0.9295133328403286,0.885152673873777,0.940200782272905,0.9197663051843221,0.8729253697459187,0.9440241220256023,0.921910007444168,0.8760449859725735,0.888415374255228,0.8150001771360011,0.7398106318446758,0.8014974781354693,0.6967419448885904,0.5769271981576264,0.844609382631194,0.6816916466740927,0.6001868629678231,0.7193670042008734,0.6298930752088556,0.49370663708248147,0.7436389203336815,0.6108247992465115,0.4887919297512392,0.7782517130416567,0.5586088181857212,0.4338061104536556,0.8207658506916964,0.7223802375577598,0.604905058325397,0.8621506427509342,0.8206391900986748,0.7454668523791799
9,1,0.1,1.5165896842215503,1.2262599247909005,0.7785396431098732,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9420421327411965,0.923171484117923,0.8786734667106436,0.9401536313172688,0.9231967185210422,0.8765047531409556,0.9413635456684368,0.9260891510044412,0.8775265651650149,0.9448459155864452,0.908167997201612,0.8582849220247897,0.8933531063313347,0.8122720898725501,0.7362947744671049,0.8109506995205937,0.6786426569391768,0.5584633407427722,0.8477972851339939,0.7064076156499542,0.6190982354400626,0.7284781204491293,0.6022774633429777,0.46477196469416704,0.7535557491585098,0.6518740937732967,0.5210860535154496,0.7937532853583328,0.625096611971207,0.49730518021993386,0.8316729397024208,0.7626737114164586,0.6435701862884391,0.8683925576588748,0.8226061235078386,0.7522827743863739
10,1,0.1,1.4452469651725741,1.2726446486262564,0.7782472269707053,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9443955813242013,0.9295485999875149,0.8846838746325753,0.9422014292330588,0.9238031551142195,0.8795890449831353,0.9425341100784858,0.9300264756131859,0.8846585596497146,0.9468027861271222,0.9280715370464107,0.8828487799830531,0.8998014064364355,0.7907437419148166,0.7144591177611628,0.8159681258080289,0.6771348444578157,0.5621921961513763,0.8556657490192838,0.7191931179094979,0.6337674146375878,0.7352578209294468,0.6288223479464815,0.4879536316529257,0.7609135935094639,0.6228017008044042,0.49523944925347074,0.8007498143754134,0.6230260175106186,0.5009147125381953,0.8378320391135982,0.7539703199688933,0.6368015300310952,0.8767497887705643,0.8118248653746035,0.7402034187849842
