stage,organ,head,share,n_pixels
dec1,liver,1,0.2944805323795514,5087984
dec1,liver,2,0.7055194694284618,5087984
dec1,spleen,1,0.15670198839759683,775146
dec1,spleen,2,0.8432980144075231,775146
dec1,right_kidney,1,0.47946025142688536,511738
dec1,right_kidney,2,0.5205397489327892,511738
dec1,left_kidney,1,0.1607373918951663,539877
dec1,left_kidney,2,0.839262610058545,539877
dec1,stomach,1,0.5832485193461807,1437396
dec1,stomach,2,0.4167514796605993,1437396
dec1,pancreas,1,0.3245456516904266,252719
dec1,pancreas,2,0.6754543478605085,252719
dec1,gall_bladder,1,0.2936843218254724,134991
dec1,gall_bladder,2,0.7063156753610008,134991
dec1,right_adrenal_gland,1,0.34572951193103296,12525
dec1,right_adrenal_gland,2,0.6542704898963669,12525
dec1,left_adrenal_gland,1,0.1780065077173742,14840
dec1,left_adrenal_gland,2,0.8219934909812845,14840
dec1,duodenum,1,0.5308475504980271,217818
dec1,duodenum,2,0.4691524500711529,217818
dec1,esophagus,1,0.43712721278679617,58969
dec1,esophagus,2,0.5628727844153667,58969
dec1,bladder,1,0.48961207106687116,436395
dec1,bladder,2,0.5103879264396484,436395
dec1,background,1,0.5169533740435833,167189298
dec1,background,2,0.48304662698444295,167189298
dec2,liver,1,0.6193817964078466,5087984
dec2,liver,2,0.38061820277624187,5087984
dec2,spleen,1,0.6802156790874314,775146
dec2,spleen,2,0.31978432227575837,775146
dec2,right_kidney,1,0.6693761726578338,511738
dec2,right_kidney,2,0.33062382697876447,511738
dec2,left_kidney,1,0.6562833216519798,539877
dec2,left_kidney,2,0.34371667802564027,539877
dec2,stomach,1,0.2967686926564635,1437396
dec2,stomach,2,0.7032313085628351,1437396
dec2,pancreas,1,0.6923641107564253,252719
dec2,pancreas,2,0.3076358887416786,252719
dec2,gall_bladder,1,0.25791862170247704,134991
dec2,gall_bladder,2,0.7420813739951053,134991
dec2,right_adrenal_gland,1,0.3995853234098819,12525
dec2,right_adrenal_gland,2,0.6004146762474806,12525
dec2,left_adrenal_gland,1,0.7025032045786593,14840
dec2,left_adrenal_gland,2,0.2974967940477027,14840
dec2,duodenum,1,0.37100371459457115,217818
dec2,duodenum,2,0.62899628579072,217818
dec2,esophagus,1,0.2706918347091906,58969
dec2,esophagus,2,0.7293081657234229,58969
dec2,bladder,1,0.22078949982993842,436395
dec2,bladder,2,0.7792105024373587,436395
dec2,background,1,0.4905988256716759,167189298
dec2,background,2,0.5094011747021518,167189298
dec3,liver,1,0.6729690293618656,5087984
dec3,liver,2,0.32703097283489113,5087984
dec3,spleen,1,0.4173898915151273,775146
dec3,spleen,2,0.5826101056692952,775146
dec3,right_kidney,1,0.7894148374993227,511738
dec3,right_kidney,2,0.21058516385877493,511738
dec3,left_kidney,1,0.4415313263358035,539877
dec3,left_kidney,2,0.5584686716848715,539877
dec3,stomach,1,0.13948629480562988,1437396
dec3,stomach,2,0.8605137065065551,1437396
dec3,pancreas,1,0.29266153922151994,252719
dec3,pancreas,2,0.7073384624756813,252719
dec3,gall_bladder,1,0.6579441839806306,134991
dec3,gall_bladder,2,0.3420558201310394,134991
dec3,right_adrenal_gland,1,0.9341807708816376,12525
dec3,right_adrenal_gland,2,0.0658192359996651,12525
dec3,left_adrenal_gland,1,0.6328486655038,14840
dec3,left_adrenal_gland,2,0.36715133280927603,14840
dec3,duodenum,1,0.47244978395010245,217818
dec3,duodenum,2,0.5275502135586402,217818
dec3,esophagus,1,0.18933103604872964,58969
dec3,esophagus,2,0.8106689650590845,58969
dec3,bladder,1,0.1152640510719115,436395
dec3,bladder,2,0.8847359471412946,436395
dec3,background,1,0.520863139297835,167189298
dec3,background,2,0.47913686032833724,167189298
dec4,liver,1,0.37384402760469715,5087984
dec4,liver,2,0.6261559746209248,5087984
dec4,spleen,1,0.16212215261085036,775146
dec4,spleen,2,0.8378778508827657,775146
dec4,right_kidney,1,0.09277481528269403,511738
dec4,right_kidney,2,0.9072251850638189,511738
dec4,left_kidney,1,0.009939125387440547,539877
dec4,left_kidney,2,0.9900608720752693,539877
dec4,stomach,1,0.0073442506556545065,1437396
dec4,stomach,2,0.9926557502262804,1437396
dec4,pancreas,1,0.003354550317349953,252719
dec4,pancreas,2,0.9966454505335494,252719
dec4,gall_bladder,1,0.21890451025461022,134991
dec4,gall_bladder,2,0.7810954888863048,134991
dec4,right_adrenal_gland,1,0.004634500468212985,12525
dec4,right_adrenal_gland,2,0.9953654945586732,12525
dec4,left_adrenal_gland,1,0.0017900351411529636,14840
dec4,left_adrenal_gland,2,0.9982099623853626,14840
dec4,duodenum,1,0.0027361936501043354,217818
dec4,duodenum,2,0.9972638079040593,217818
dec4,esophagus,1,0.00020868114683393407,58969
dec4,esophagus,2,0.9997913237879009,58969
dec4,bladder,1,0.005863907086354419,436395
dec4,bladder,2,0.9941361013151173,436395
dec4,background,1,0.4932996418129549,167189298
dec4,background,2,0.5067003562244494,167189298
