stage,organ,head,share,n_pixels
dec3,left_kidney,3,0.03769387803641121,539877
dec3,left_kidney,4,0.08218013974996916,539877
dec3,stomach,1,0.7464691862650594,1437396
dec3,stomach,2,0.08479726217018203,1437396
dec3,stomach,3,0.06080398842670978,1437396
dec3,stomach,4,0.10792956373889666,1437396
dec3,pancreas,1,0.4696126434304028,252719
dec3,pancreas,2,0.033563825677846396,252719
dec3,pancreas,3,0.0299958751273697,252719
dec3,pancreas,4,0.46682765471506915,252719
dec3,gall_bladder,1,0.35241807261711555,134991
dec3,gall_bladder,2,0.09849156084450933,134991
dec3,gall_bladder,3,0.16161305066061646,134991
dec3,gall_bladder,4,0.38747731799369906,134991
dec3,right_adrenal_gland,1,0.28595005027786224,12525
dec3,right_adrenal_gland,2,0.0253232344080826,12525
dec3,right_adrenal_gland,3,0.03861190498410585,12525
dec3,right_adrenal_gland,4,0.6501148112710127,12525
dec3,left_adrenal_gland,1,0.4183603762214717,14840
dec3,left_adrenal_gland,2,0.03796278591445996,14840
dec3,left_adrenal_gland,3,0.04759120344211953,14840
dec3,left_adrenal_gland,4,0.49608563539795475,14840
dec3,duodenum,1,0.20271132518111953,217818
dec3,duodenum,2,0.02731448380869223,217818
dec3,duodenum,3,0.03380122515761721,217818
dec3,duodenum,4,0.7361729656677243,217818
dec3,esophagus,1,0.1887785593479941,58969
dec3,esophagus,2,0.0378852211966514,58969
dec3,esophagus,3,0.06384451378972472,58969
dec3,esophagus,4,0.7094917024695456,58969
dec3,bladder,1,0.8476629838875845,436395
dec3,bladder,2,0.06614981789700736,436395
dec3,bladder,3,0.0268254703136721,436395
dec3,bladder,4,0.05936172845269948,436395
dec3,background,1,0.230861093444136,167189298
dec3,background,2,0.2700381865225047,167189298
dec3,background,3,0.2502652333625296,167189298
dec3,background,4,0.2488354879850679,167189298
dec4,liver,1,0.3229328382297839,5087984
dec4,liver,2,0.6618676583295849,5087984
dec4,liver,3,0.005364188862708057,5087984
dec4,liver,4,0.009835311894879756,5087984
dec4,spleen,1,0.9389328412742936,775146
dec4,spleen,2,0.011613438146268551,775146
dec4,spleen,3,0.012343638369775608,775146
dec4,spleen,4,0.03711008277818107,775146
dec4,right_kidney,1,0.5200314027619061,511738
dec4,right_kidney,2,0.46513249497397813,511738
dec4,right_kidney,3,0.006037102086188484,511738
dec4,right_kidney,4,0.008799001828799256,511738
dec4,left_kidney,1,0.9870523238878629,539877
dec4,left_kidney,2,0.0024341282512334865,539877
dec4,left_kidney,3,0.004044541724245345,539877
dec4,left_kidney,4,0.006469006737891017,539877
dec4,stomach,1,0.9780209523720172,1437396
dec4,stomach,2,0.007702970364384498,1437396
dec4,stomach,3,0.004871803041771807,1437396
dec4,stomach,4,0.009404271177042988,1437396
dec4,pancreas,1,0.9918725961739197,252719
dec4,pancreas,2,0.007116359861136304,252719
dec4,pancreas,3,0.00038178048731983707,252719
dec4,pancreas,4,0.0006292648384515001,252719
dec4,gall_bladder,1,0.4252314513379476,134991
dec4,gall_bladder,2,0.5677823368041162,134991
dec4,gall_bladder,3,0.002663927240685506,134991
dec4,gall_bladder,4,0.004322286286618465,134991
dec4,right_adrenal_gland,1,0.9792496109389497,12525
dec4,right_adrenal_gland,2,0.017910096900804365,12525
dec4,right_adrenal_gland,3,0.0009842726337880746,12525
dec4,right_adrenal_gland,4,0.0018560152909088278,12525
dec4,left_adrenal_gland,1,0.9997263439582044,14840
dec4,left_adrenal_gland,2,7.141384864903962e-05,14840
dec4,left_adrenal_gland,3,8.19540957321943e-05,14840
dec4,left_adrenal_gland,4,0.00012028655062092755,14840
dec4,duodenum,1,0.9330599359743627,217818
dec4,duodenum,2,0.06243531827677824,217818
dec4,duodenum,3,0.0015544049047117856,217818
dec4,duodenum,4,0.002950338997222303,217818
dec4,esophagus,1,0.9951032402981623,58969
dec4,esophagus,2,0.003963959858128219,58969
dec4,esophagus,3,0.0002563718003179233,58969
dec4,esophagus,4,0.0006764245518717745,58969
dec4,bladder,1,0.9972337288790345,436395
dec4,bladder,2,0.0016843558220988478,436395
dec4,bladder,3,0.0005413592235331918,436395
dec4,bladder,4,0.0005405527658801635,436395
dec4,background,1,0.24734748031362105,167189298
dec4,background,2,0.28055133708729335,167189298
dec4,background,3,0.23802021329794537,167189298
dec4,background,4,0.23408097079061022,167189298
