epoch,num_heads,lambda_bal,train_loss,val_loss,val_score,head_cosine_train,head_cosine_val,balance_loss_train,balance_loss_val,router_entropy_norm_train,router_entropy_norm_val,lambda_hard,hard_organ_routing_loss_train,hard_organ_routing_loss_val,val_router_util_H1,val_router_util_H2,val_router_util_H3,val_router_util_H4,val_router_entropy_dec1,val_router_entropy_dec2,val_router_entropy_dec3,val_router_entropy_dec4,val_util_dec1_H1,val_util_dec1_H2,val_util_dec1_H3,val_util_dec1_H4,val_util_dec2_H1,val_util_dec2_H2,val_util_dec2_H3,val_util_dec2_H4,val_util_dec3_H1,val_util_dec3_H2,val_util_dec3_H3,val_util_dec3_H4,val_util_dec4_H1,val_util_dec4_H2,val_util_dec4_H3,val_util_dec4_H4,train_liver_pos_dice,val_liver_pos_dice,val_liver_pos_iou,train_spleen_pos_dice,val_spleen_pos_dice,val_spleen_pos_iou,train_right_kidney_pos_dice,val_right_kidney_pos_dice,val_right_kidney_pos_iou,train_left_kidney_pos_dice,val_left_kidney_pos_dice,val_left_kidney_pos_iou,train_stomach_pos_dice,val_stomach_pos_dice,val_stomach_pos_iou,train_pancreas_pos_dice,val_pancreas_pos_dice,val_pancreas_pos_iou,train_gall_bladder_pos_dice,val_gall_bladder_pos_dice,val_gall_bladder_pos_iou,train_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_iou,train_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_iou,train_duodenum_pos_dice,val_duodenum_pos_dice,val_duodenum_pos_iou,train_esophagus_pos_dice,val_esophagus_pos_dice,val_esophagus_pos_iou,train_bladder_pos_dice,val_bladder_pos_dice,val_bladder_pos_iou
1,4,0.1,8.081364000789904,2.845410160333113,0.5629043288773706,0.7891437488004508,0.7510694370788782,0.0016522447211438662,0.010290199707166202,0.8862575897776324,0.8599326145621925,0.0,0.0,0.0,0.24503101398344754,0.23825522378729044,0.2556698131385574,0.26104392705996293,0.979395075179552,0.9762808054753171,0.912282966972749,0.5717715984569385,0.2301911069354773,0.22931943435112095,0.2727297737755202,0.2677596648669297,0.2555471877324608,0.25450080788595064,0.23995939069459227,0.2499925940890972,0.26571216908982553,0.2177704328210716,0.24340884022566736,0.2731085329774826,0.22867359173676324,0.25143022166856493,0.26658124701371266,0.253314920158343,0.613598060045034,0.8379790618417368,0.7600093704697084,0.7501517208113068,0.8747595498730107,0.8106004825577275,0.6029958751410547,0.8589559322170208,0.7929288565471284,0.5623211343938254,0.8703121778217183,0.8085633203613005,0.5979914138544444,0.7348942286158893,0.6327659546098711,0.36535028898924415,0.5510826792764644,0.41433270869760813,0.3912062879878833,0.589728213793697,0.48943717231044753,0.003969716809332174,3.960357585303715e-09,3.960357585303715e-09,0.12958009177849603,0.43535722257531345,0.3196573919759693,0.2683132120089041,0.40580561179015334,0.28934984924249463,0.012932034292336017,2.7751425785478347e-09,2.7751425785478347e-09,0.4421700027246915,0.5959772619879432,0.5038124798599879
2,4,0.1,4.613411874776199,1.9446809313169293,0.6754569897983727,0.7305650704202623,0.7044871615714767,0.0020428374513376405,0.017195074117560764,0.8472217670846198,0.8233374634297256,0.0,0.0,0.0,0.23923968714651336,0.24838847854510457,0.2545090796185189,0.2578627338079639,0.968862422199206,0.9624780005608556,0.8751325737051412,0.48687685610485726,0.23127688251249914,0.21732114667659985,0.26953966837891646,0.2818622786779793,0.20551625485458072,0.26525817074878416,0.2653970226746838,0.2638285316509995,0.23058575770211598,0.24958666513701416,0.25456111538572374,0.26526644180556275,0.2895798523004363,0.26138793257890847,0.2285385109196985,0.22049368465163,0.8689274580844724,0.8884460476181434,0.8275597803749599,0.8823568451767523,0.9027217899291656,0.8486420285960637,0.8836220281101597,0.8962350706778822,0.8372514215620742,0.8811459907540223,0.905554088670063,0.8481225841160879,0.7847308216386183,0.7814976856198494,0.6951608679885057,0.6662277587277771,0.6536893358652003,0.5199320067916653,0.6969804707415971,0.6345083057313958,0.5319653878296762,0.28665858457059035,0.515800568043435,0.3822144377324312,0.5549811815613511,0.5629320047576545,0.43109326479161214,0.5853030395732075,0.5547604960793718,0.4227645425278184,0.0038067134070398486,0.0671856018589468,0.0437852133711192,0.6805251316975452,0.7421528827293644,0.648470869348814
3,4,0.1,2.950183693373146,1.4247522486674788,0.7447981443499292,0.7063257140355461,0.6909770224910745,0.002569631397397668,0.012266963359536653,0.8324019692530265,0.8264508354150248,0.0,0.0,0.0,0.2286625498073712,0.24713579310176054,0.26747935081149987,0.25672228394452135,0.9591328144884433,0.9624279060331332,0.8852777997382374,0.49896482613081294,0.21686578874820484,0.2104844071832644,0.29166499070840085,0.28098478345643907,0.2249993857275061,0.2535471362727029,0.2555214201782296,0.2659320373451358,0.23182297192192944,0.25610293177655497,0.27462372345989255,0.23745035422361896,0.24096205338937085,0.268408699480652,0.24810726724379187,0.24252196075289156,0.9042959627279,0.9105591607551454,0.855396571193429,0.9120948360463497,0.9013614460668707,0.8460558111647349,0.917913699755966,0.9077001092717226,0.8534394836881234,0.9247862249896796,0.9172819889458924,0.863767745926428,0.8258282771123273,0.8031183841546421,0.7218038335723076,0.7227645693690119,0.6627685028925516,0.5335502285266085,0.7555108074694977,0.6756105575744086,0.5794078674314095,0.5978715196625362,0.5921060286032148,0.44735647777854304,0.6511023667811189,0.5594188763646337,0.4315338414747197,0.6706053450751389,0.5541207005326768,0.4267351117631578,0.45218801719607965,0.674994968981006,0.5472768461594719,0.7871457937600793,0.7785370080563856,0.6894125424359507
4,4,0.1,2.1458319275698003,1.2633648087899816,0.7669924326636034,0.6939713771819662,0.7072423819511656,0.002825051624269349,0.011138188638675453,0.8287854833099046,0.8375418637615213,0.0,0.0,0.0,0.23023275365364523,0.25218818490467376,0.265587570175292,0.2519914681543839,0.958656994934255,0.9610696909378986,0.894012167610549,0.5364286031176985,0.22931258552739409,0.21855649713621117,0.2883295446566714,0.2638013466280334,0.2121997372228272,0.27263914190587546,0.2473230138927901,0.26783808626555533,0.22213842680935417,0.25950508400831634,0.2865539717566129,0.2318024976926596,0.25728026657553216,0.2580520175143975,0.2401437511722517,0.24452394196370833,0.9207487032366466,0.9185608781696668,0.8685161008496802,0.9208193460750361,0.9278840036293254,0.8816349058480336,0.9286584997114783,0.9189812149371782,0.8668910107772393,0.9318807596643105,0.9100290094467414,0.8591170796270458,0.8490061405901566,0.80592259024188,0.7263434232032836,0.7469439158176724,0.6526581323527124,0.5302209590112381,0.7890778480488182,0.6547802125069709,0.5725918336789588,0.6540678714815109,0.6331679018293604,0.4922751170176063,0.6853797933094228,0.6264759222569473,0.491984760428588,0.7069638792800563,0.6090584924087826,0.47796994171921214,0.7343450704467958,0.7363961443893219,0.607722379383631,0.813771903604967,0.8099946897943544,0.7316288548818511
5,4,0.1,1.893416178925087,1.2556290826364798,0.7717318074026195,0.6906369682774424,0.693544086009737,0.0022564131426428963,0.008988554727522038,0.8307353558060866,0.8291146851180632,0.0,0.0,0.0,0.2315934175739483,0.24360817907348511,0.27260102868891084,0.2521973520584928,0.9526840509200583,0.9586643041396627,0.8824398385153877,0.5226705445318806,0.2394482317019482,0.21271182532483487,0.28561521769245735,0.26222469517433183,0.22053280864713415,0.26752539560232574,0.2657683236258371,0.24617345100627736,0.2401281422227959,0.25050408999665796,0.26547125235301294,0.24389649437668642,0.22626448497007223,0.24369140547149035,0.2735493199017042,0.2564947686903601,0.9288183349405981,0.926875674254189,0.8787353174394987,0.925892546187607,0.922298099975098,0.8763843252176139,0.9328172215743533,0.9157322943606621,0.8591348323684407,0.9373300066847511,0.9199650517132789,0.86772964694247,0.8634619635916182,0.8110816129976126,0.7349182969396424,0.766064506347279,0.7051613996224516,0.5765437696926535,0.814035149348913,0.6610814552085046,0.5785355833464596,0.6833845254112382,0.6263047538939479,0.4803855144597348,0.7080306584808757,0.6456600680851632,0.5111508188530269,0.7342450951266368,0.6111763513681602,0.4849590584120014,0.7768574830895965,0.7170226228864569,0.5914903902632528,0.8327732268967358,0.7984223044659094,0.7183476547327418
6,4,0.1,1.7374891300847954,1.252451966471443,0.7737850415539996,0.6884307430610282,0.6947640096789856,0.0022789687832463165,0.009333817201521849,0.8301073812808593,0.8289220204699337,0.0,0.0,0.0,0.2378865682484071,0.25131270873979106,0.26870788755465524,0.2420928131898785,0.9470337945587781,0.9608191603165365,0.8805426851151481,0.5272924356044285,0.24198422207583645,0.21630472505714346,0.278189659794442,0.26352136110772895,0.2310753255879798,0.23226011431271257,0.26888498494954877,0.2677795549774386,0.2491787153036416,0.2747961579401747,0.26367814916602067,0.2123469589045799,0.22930800823532804,0.28188983634823844,0.2640787526593457,0.2247233816893463,0.9337824555464652,0.9224753165707847,0.8747340750356087,0.932178565013818,0.9134739310728767,0.8655301345778363,0.9356349352884153,0.9185279249520371,0.8705794275118587,0.9405794677522951,0.909370551193775,0.8629323677451892,0.8745667968243732,0.8058233781664539,0.7278490380095584,0.7820844906900802,0.7013341568113232,0.5774609622123303,0.8242087423138615,0.6809236057407914,0.5939778722501216,0.7054198123345058,0.6367811573705865,0.49120582984109423,0.7233251874250045,0.6259066288497047,0.49635136784310807,0.7555355549149898,0.6130411597843654,0.4856293181217135,0.798586011495002,0.7374538120225465,0.6083684702599911,0.8453144863526775,0.8203088761127517,0.7449716491221485
7,4,0.1,1.633036075695182,1.201942096850778,0.7822211614437014,0.6909334072926525,0.6861653029242881,0.002008289354964972,0.006950840319051081,0.8344040807125463,0.8295820114834238,0.0,0.0,0.0,0.23480530796137528,0.2468201750530407,0.25584725920710705,0.26252723446373494,0.9478090885274805,0.9561194042229598,0.8894238703104914,0.5249756786152889,0.2314606638384514,0.22542260394615382,0.2819700820916364,0.261146618496804,0.2326213285631063,0.2681581367170459,0.24063788296954702,0.2585826306656645,0.2178804854822267,0.2790691138597843,0.25343732866976,0.24961305100496123,0.2572587538603482,0.21463084559625778,0.24734374336780063,0.28076663613319397,0.9380945831305249,0.9245549882829998,0.8774578988108038,0.9348515446260426,0.9265256945806121,0.8824427357396564,0.9387615719446948,0.9290823097914509,0.8820256891597004,0.9427511175095988,0.9186658713959635,0.8731639969001487,0.8852498798676518,0.8266123326007097,0.7522682884285786,0.7979857223024237,0.7085946643517135,0.5885428964348369,0.8360685158852088,0.6969982503435094,0.6050770730912178,0.7172841516454912,0.6441590568792946,0.5071505954758786,0.739138969702805,0.628800639266128,0.4986573058292425,0.771527479649489,0.6176291679403026,0.49416466751469706,0.8151848345758709,0.7516132562636612,0.634423712218932,0.8539222544626275,0.8134177056280706,0.7430097133607723
8,4,0.1,1.5532165467199266,1.1749399623827512,0.780448621953258,0.6866034572054388,0.690797457484161,0.0018815233110294905,0.0061601092807474596,0.8344157190083137,0.8375655974930917,0.0,0.0,0.0,0.23241458829838674,0.2613527805221324,0.259542731504862,0.2466898775425087,0.9478743372320317,0.9550274086106662,0.8911242872949631,0.5562363591999694,0.22853431676655941,0.23353952101839373,0.28289081946927674,0.25503531307860566,0.2381864666871203,0.25615726799921656,0.2507270750950794,0.25492916893121065,0.23730718744855347,0.2719447738797216,0.25044248146670206,0.24030553791122913,0.22563037960505,0.28376955876882926,0.2541105501911267,0.23648949136404224,0.939958315268206,0.9194129898091523,0.8719598508698972,0.938114356807724,0.9289257235577653,0.8859494774682166,0.939997419038385,0.9213853054743186,0.870644426048699,0.9443131161557241,0.9219494650485403,0.8737791421909673,0.8887747511290598,0.8197988145142973,0.7478295401300331,0.8060944002601264,0.7216164616490455,0.5981197484847324,0.8427967689289284,0.6937371904115235,0.6077506545215129,0.7285143065967914,0.6351464027382219,0.5020446437048288,0.7471579221654492,0.5973753387590368,0.4757979675427293,0.783152495144177,0.6197746806634385,0.4952987810888952,0.8248437230262639,0.7611487873915681,0.6425663191843533,0.863585820696344,0.8251123034221883,0.7501945550805548
9,4,0.1,1.4779394881580508,1.1870557742298615,0.7854615989194317,0.6829202968260558,0.6957969681746294,0.001664501701959954,0.006868617120205518,0.8315130602719177,0.8357230572203119,0.0,0.0,0.0,0.2428997714165387,0.2599906984573048,0.2536391696624475,0.2434703371151775,0.9433543642902591,0.949707180194033,0.9013962083392673,0.5484344774768466,0.2315972296356344,0.23943981943892784,0.28548432312179317,0.24347859597395335,0.23016072404222424,0.25207179595553686,0.2579464631961857,0.25982099575520645,0.24415477927850218,0.2620051407219331,0.24542659521102905,0.2484134646162154,0.2656863511892673,0.2864460380169269,0.22569929707009775,0.2221682940075457,0.9429161498327394,0.9280175392055435,0.8829307301359551,0.940774048609251,0.9266090364334071,0.8838877855154863,0.9429777697976005,0.9190377156251658,0.8721948764041362,0.9458539851015745,0.9246898281541178,0.8778407155452584,0.8967190679030673,0.8220984487863822,0.7511508789697009,0.8133726257768957,0.700657529532873,0.5847755108856864,0.847569602093995,0.6647945286563393,0.586390967355158,0.7379269622408062,0.6642683746504989,0.5287512439484683,0.7562981316635381,0.6415124198794268,0.5136857550856203,0.7937509951487223,0.642642473201803,0.5174356328815434,0.8323675311828181,0.7658955932051542,0.6503456785437515,0.8716802933135739,0.8253156997024694,0.7524186829792242
10,4,0.1,1.4192961121024639,1.273119694445662,0.773736937751731,0.6766889702781089,0.6899265596926077,0.0017092297078305275,0.006179100266205201,0.8234799494629572,0.8275817990843671,0.0,0.0,0.0,0.23370589839628225,0.24557303405808212,0.2628802095546203,0.257840832479957,0.9430723255183421,0.9497235914747191,0.8933514998613301,0.5241797794154982,0.23671508125977722,0.22609904594297042,0.2785954400052289,0.25859039815780527,0.22610888848093902,0.2580820070980898,0.2536001596050738,0.2622089235285242,0.2260494139256661,0.2596226448780285,0.26481466468364473,0.24951325563076132,0.24595021262190508,0.23848843686029214,0.2545105748368499,0.26105075506936937,0.9455948722768828,0.9256186535490459,0.8781297252879419,0.9421481599447872,0.9248556684873069,0.8789945124268783,0.9445134832143823,0.92051464319814,0.8730551392275548,0.9467717855767607,0.9223234228704963,0.8756981034756184,0.9007321575402057,0.807456145913387,0.7369894566754084,0.821922921921819,0.6955428453732739,0.5762942520283286,0.8534350706888212,0.6409265731983398,0.5639366252281275,0.7503183295308179,0.6302802575900491,0.4955205040651437,0.7645731683942608,0.6187134211554539,0.4990013154539914,0.8023178625289569,0.6179901631434654,0.49294032087568124,0.8390541689205968,0.7474958439109586,0.6326334094307173,0.8778598609111509,0.8331256146308557,0.7605229661211858
