epoch,num_heads,lambda_bal,train_loss,val_loss,val_score,head_cosine_train,head_cosine_val,balance_loss_train,balance_loss_val,router_entropy_norm_train,router_entropy_norm_val,lambda_hard,hard_organ_routing_loss_train,hard_organ_routing_loss_val,val_router_util_H1,val_router_util_H2,val_router_entropy_dec1,val_router_entropy_dec2,val_router_entropy_dec3,val_router_entropy_dec4,val_util_dec1_H1,val_util_dec1_H2,val_util_dec2_H1,val_util_dec2_H2,val_util_dec3_H1,val_util_dec3_H2,val_util_dec4_H1,val_util_dec4_H2,train_liver_pos_dice,val_liver_pos_dice,val_liver_pos_iou,train_spleen_pos_dice,val_spleen_pos_dice,val_spleen_pos_iou,train_right_kidney_pos_dice,val_right_kidney_pos_dice,val_right_kidney_pos_iou,train_left_kidney_pos_dice,val_left_kidney_pos_dice,val_left_kidney_pos_iou,train_stomach_pos_dice,val_stomach_pos_dice,val_stomach_pos_iou,train_pancreas_pos_dice,val_pancreas_pos_dice,val_pancreas_pos_iou,train_gall_bladder_pos_dice,val_gall_bladder_pos_dice,val_gall_bladder_pos_iou,train_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_iou,train_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_iou,train_duodenum_pos_dice,val_duodenum_pos_dice,val_duodenum_pos_iou,train_esophagus_pos_dice,val_esophagus_pos_dice,val_esophagus_pos_iou,train_bladder_pos_dice,val_bladder_pos_dice,val_bladder_pos_iou
1,2,0.0,8.145140104326849,2.784503136091495,0.557104202693049,0.8809433417925695,0.8542943062966102,0.1552331897464358,0.18403175526114224,0.699017706199763,0.6416174386904624,0.0,0.0,0.0,0.4829317987505811,0.5170681810433091,0.9898440658100067,0.9209330519851373,0.6418336933297094,0.013858939037666721,0.4820337801698654,0.517966177863599,0.6440345415182395,0.355965436113124,0.804276039270587,0.19572394212830363,0.0013828216085425323,0.9986171618340507,0.7419948439829979,0.8462784027074505,0.7717119842245758,0.6314499178976841,0.8463475717190937,0.7756135620150482,0.6013624498821917,0.8659575785251833,0.797505614073156,0.5451698965479885,0.8706028099476685,0.8073259458079379,0.5612037226177392,0.7098523959952004,0.6121529173077442,0.3706808362903613,0.6074670386352019,0.46790894646412584,0.391740344663671,0.575642578607047,0.4766083112895085,0.055680570493182,0.1407321417537055,0.09043695652740674,0.004911759767788188,0.00032929781020640754,0.00017675723345470543,0.2750668903921352,0.4745631664798783,0.34663595696266897,0.0017603502642141134,2.7751425785478347e-09,2.7751425785478347e-09,0.5601927332390436,0.7474774473608105,0.6647981573152214
2,2,0.0,4.80424779826933,2.1025119035530415,0.6146257262891991,0.8364068257793448,0.8092520695154358,0.1616548616548263,0.1632436418171059,0.6679674334154263,0.6652606705419061,0.0,0.0,0.0,0.4308744533126857,0.5691255030988835,0.9506530979323009,0.9472792204004837,0.7577142831689917,0.005396079581680702,0.3931750027365695,0.6068248785271937,0.6085182279686269,0.39148175250105305,0.7213253026105919,0.27867467816319325,0.0004792798887455507,0.9995207039136735,0.8607842019427907,0.8800168581549586,0.8207558060826164,0.8747551441943593,0.8980081300116252,0.8449751946986941,0.8726749612260558,0.8880170047596813,0.8299617709837359,0.8915721435356215,0.8991329044335453,0.8444958939719848,0.7762557838127463,0.7617477737609315,0.6720533300296961,0.6666051096927033,0.6432499760622822,0.5092224951061854,0.6846637925090754,0.6491997867875601,0.5466177790870892,0.33173050064962256,0.43315330233933896,0.31885243662639245,2.1280745553212404e-05,4.078457523627199e-09,4.078457523627199e-09,0.5899985826570512,0.5342114615521384,0.40703409832644377,2.5228444099920722e-09,2.7751425785478347e-09,2.7751425785478347e-09,0.7380917187835574,0.7887715107547271,0.7078497139696351
3,2,0.0,3.147445297657205,1.4280474867647395,0.7408344037670838,0.7849295856498585,0.7359242551451097,0.16405229388429055,0.16696687672870195,0.6585370156172747,0.6510694954130385,0.0,0.0,0.0,0.4199963254587991,0.5800035898647611,0.9086862537595961,0.9266791787006958,0.7687095523961818,0.0002029927035645437,0.34749226045716647,0.6525074658480361,0.6333754723574839,0.3666245058145112,0.6991043736875192,0.30089560532921295,1.3200723670374755e-05,0.9999867799330731,0.9100417455271523,0.9102241937297234,0.8551823268223052,0.9075389894443979,0.9086066154579773,0.8561267507809154,0.9032212079989705,0.9045179866251679,0.8436446282886452,0.923158763903314,0.899340720620906,0.8459780083319266,0.8265334676116955,0.7845009402693962,0.6998230624761743,0.7240201241499875,0.6778301088029293,0.547756618555253,0.751653614386274,0.6779818774612935,0.5806150692944442,0.5620151743712578,0.5580744870261765,0.41670498874904394,0.4406562739073884,0.5138441481622499,0.3886437720909634,0.6748123592530445,0.5979371258248485,0.4662303062150157,0.4265438431485381,0.6497651796092077,0.517742921157362,0.7941901250555309,0.8073894616151285,0.7306933936524546
4,2,0.0,2.19580374245448,1.437720969755248,0.73669462056382,0.7389560808869285,0.7349327453950636,0.16507802281883974,0.16747678605560823,0.6498462428272558,0.6489444876474048,0.0,0.0,0.0,0.40874558998073307,0.5912542355303861,0.8895851287171413,0.9559618534684993,0.7501678520860044,6.311542622777639e-05,0.3353583213288227,0.6646410336299818,0.579633416232068,0.42036656322392746,0.7199870231740869,0.28001295766727724,3.60132129290356e-06,0.9999963812817252,0.9232554876055689,0.9147517289832712,0.8622542897285072,0.918906882767613,0.9105695277664105,0.8581627733426003,0.9150385351557263,0.9061408038096694,0.8478881228019534,0.9320733337563076,0.9147803350425762,0.864570628212734,0.8481378693051036,0.7990805498105893,0.7200703295375908,0.7516040156883964,0.5746521325052643,0.45507920192978873,0.7876787460756378,0.6047402179705063,0.5153942172129156,0.6384691138419685,0.5633288390386123,0.427663633673615,0.6418138585223301,0.5622955007706244,0.4306679374730191,0.7062639991318875,0.580442570396002,0.4471352235459238,0.7283124410949798,0.7268065452379616,0.600111577892676,0.8186248097939715,0.7827466954343527,0.7099332661429194
5,2,0.0,1.925385732579625,1.2424347943810705,0.7665352795118857,0.7114220474139141,0.7140221974206349,0.164461759348848,0.1653355761571081,0.6445935178067159,0.6464635679781302,0.0,0.0,0.0,0.398114425525103,0.6018854035001223,0.8606798928611132,0.9360146337355616,0.7891424609149664,1.7282229567516592e-05,0.3089403678365305,0.6910590013138561,0.6105400576613117,0.38945992030794657,0.6729763357006774,0.3270236440932129,9.414839759825779e-07,0.9999990459202098,0.9289300151005883,0.9112870298545996,0.857740198176716,0.9257061300354609,0.9216850014784621,0.874238837812398,0.9260231433173346,0.9237483868970296,0.8698793071635834,0.9361400749321689,0.9088230135417145,0.8585619892993042,0.8621981586218016,0.824809110625779,0.7457042532608562,0.7721940109718491,0.6924339449289788,0.563737865541363,0.8071987829463482,0.6785370040208596,0.5893743047432164,0.6726415487156459,0.6268915534765598,0.4859454504858706,0.6887764293171681,0.5345148928667492,0.41345391945732923,0.7292748749790413,0.6151118404934102,0.4877200432165983,0.7728886220675164,0.743906336493398,0.6206935365917161,0.8348350388768485,0.8166752394650871,0.7434153020150548
6,2,0.0,1.7772029619300753,1.2455486114883043,0.770066713628522,0.6979683596223377,0.6904627979477517,0.16270538854294148,0.17547516741897531,0.6444030287268825,0.6288636128107706,0.0,0.0,0.0,0.4056055794497466,0.5943942441691618,0.849993585053485,0.948001121717786,0.7174563863380156,3.3562923585939606e-06,0.30547202677548335,0.6945273012531047,0.5887199561882451,0.4112800227271186,0.7282301747069067,0.2717698062358259,1.576830040608414e-07,0.9999998536239676,0.9348762336300909,0.9145334292184091,0.8601465519794613,0.9289182536547287,0.9139522503949989,0.8638988313171653,0.9326475146030542,0.9193239009241579,0.86855746572103,0.9391720457683017,0.9046491212672764,0.8545805599182495,0.8739537949399648,0.8140252832318483,0.733410530719552,0.7864311948519876,0.7044089485331626,0.5807963935949496,0.819502030867182,0.7079947121673239,0.6116389318592499,0.6963903348963653,0.6061084841045086,0.46795095046345025,0.710008565655795,0.5669085256941534,0.44293518369067353,0.7519645723229044,0.6210481100132815,0.4934508967993258,0.794423286347676,0.7512076896811394,0.6320045558662203,0.8462096905261055,0.8166401083120035,0.7430153980313193
7,2,0.0,1.6549421783768883,1.243149329716426,0.7725130267557553,0.6933798500462497,0.6870578377425265,0.16658107842227912,0.16179050323604963,0.6378998232233204,0.6445652259991013,0.0,0.0,0.0,0.3796054361358521,0.6203941589310056,0.8321655465632068,0.9427420400978487,0.8033483408205634,4.9819408563088575e-06,0.29213958620484454,0.7078588245406984,0.587795224049194,0.41220475439311693,0.6384866676903636,0.3615133123738425,2.806449721171811e-07,0.9999997449569962,0.9383561351026791,0.9215384624772566,0.8735861293235069,0.9348198596926716,0.9201741363551166,0.8767554660877896,0.9380543009123237,0.9216404520580057,0.8719147423701847,0.9416194457150789,0.9265816161460066,0.8804022275678851,0.8839934131700375,0.8168890799310214,0.7430958582133945,0.795944870299107,0.6968802143925057,0.5746003682282722,0.8327889084041721,0.6880160330413919,0.6032495820957907,0.7135676414465544,0.5775730026574032,0.4514626198369924,0.7283985211134102,0.644828652819238,0.5155456562010848,0.7674847339198134,0.5949088195698102,0.4718113596711723,0.8088583325397967,0.733874240258571,0.61475943937531,0.8548886031367693,0.8272516113627357,0.7535314317858872
8,2,0.0,1.5743639866087624,1.238124513132638,0.7793177225204824,0.6782119915136947,0.682407633112131,0.1682506868702081,0.1748062215747565,0.6335282235588476,0.6257626696779074,0.0,0.0,0.0,0.4033236263019968,0.5966760648621453,0.8438188487710325,0.9476599767635199,0.7115688109073509,3.0409444996027505e-06,0.3041793464127582,0.6958194529118181,0.5816606950868014,0.41833928159845657,0.7274543211843962,0.2725456563455988,1.4593418997495815e-07,0.999999876060183,0.9409157475176395,0.9231640036920986,0.8735281724223731,0.9371522700359605,0.9260991217144208,0.881187522186966,0.939148647923533,0.9226143038018838,0.8732159072996333,0.9426388948210055,0.9180241231231548,0.8708294599620358,0.8897378503304596,0.7959504438453678,0.7229513983647946,0.8050227629160462,0.6935699016322531,0.5715795236216443,0.8427888658352851,0.7303421261554999,0.6356853635981693,0.7237017222391199,0.64129995351085,0.5032875138279901,0.7389457368679246,0.6455351632635024,0.5117814733172538,0.7806728654835199,0.6121173287127848,0.4837658499414654,0.8200486187162105,0.7334071876804092,0.6137246538515491,0.862750322881586,0.8096890131135638,0.7280550725660003
9,2,0.0,1.4995589200587875,1.234527849027021,0.7799914283737538,0.6845200571243846,0.6741797924041748,0.16676601520801518,0.1765088046462114,0.634613600953569,0.6253875675114915,0.0,0.0,0.0,0.39214153145175945,0.6078582250612393,0.7974526814592668,0.9346032314289725,0.7694937096161096,6.413717153122373e-07,0.2733664109525767,0.726632643313635,0.6002852255795278,0.39971475103815124,0.6949144704541922,0.3050855105223299,3.15630660287826e-08,0.9999999839162069,0.942934908438376,0.9273073903252073,0.8811021914174184,0.9390406119442065,0.9243730466640249,0.8779449567673404,0.940591321239303,0.9166671065943692,0.8684100216766696,0.9448215323927284,0.9195986539837985,0.8714010310713641,0.8963315790131449,0.7977057480266443,0.726404489203431,0.8149175805078707,0.7035379159551512,0.58516568064856,0.8447847482174466,0.6841355283377673,0.601960751223543,0.73582478043418,0.6327867300847748,0.4984642513329058,0.7523762914376821,0.6584448723892654,0.5245318055063387,0.7905598273818119,0.6320907742481179,0.506054883369504,0.8286583829118507,0.742414933707813,0.6251671433829191,0.8731840832418528,0.8208344401681131,0.7484772473681207
10,2,0.0,1.4482145672077567,1.1498903153388549,0.7861984980507869,0.6831085805340326,0.6917883888934475,0.16491494748937874,0.17121282827613774,0.6380630301372722,0.6314304097980058,0.0,0.0,0.0,0.391161964796568,0.6088375395117434,0.821184467566527,0.9481102741764786,0.7564241599604116,2.7359307999397635e-06,0.28925547358535586,0.7107425679425263,0.5746547479748455,0.42534522857525453,0.7007375079758313,0.2992624686418477,1.3342970753880745e-07,0.9999998980909248,0.9453724536824523,0.9277778068088637,0.8818234341680617,0.9408224734637584,0.927901945060339,0.8815401872512082,0.9425780018780793,0.923820412167483,0.87327540343143,0.9453889534201805,0.9195768298632289,0.8713894976291732,0.9018313610217321,0.8426144933063774,0.7690379431627302,0.8176686788061258,0.6983885893321707,0.5764792212890316,0.8501764797778314,0.709327587586548,0.6232587224658586,0.7445804741515468,0.6280760968945777,0.48804280451100673,0.759356275732023,0.6433781705053939,0.5146895109147965,0.8013827123986775,0.6267477668368014,0.5004314997352117,0.8360322501387255,0.7630531301875371,0.646501318160103,0.8758847403869021,0.8237191480601214,0.7491076168354619
