compare,level,n,mean_delta,wilcoxon_p,spearman_rho,spearman_p,hard_third_delta,easy_third_delta
H2,patient,45,0.008486087919775545,0.009454493244902551,-0.33926218708827405,0.022614803240578154,0.02146700605445447,0.0015072744948636011
H4,patient,45,0.010072774051063788,0.0009013545463858463,-0.16666666666666663,0.2738463304220455,0.01147665952886167,0.005069140147220138
Hproj2,patient,45,0.00815841994780481,0.062119314740300524,-0.19288537549407114,0.2042756451399037,0.016419707581738927,-0.0016962734759621363
HprojSA,patient,45,-0.0004513522364038754,0.8057534826177744,0.07364953886693017,0.6306535477647106,-0.0011320249863853457,0.0002988582587971781
StageAdapt,patient,45,0.006191406635765241,0.04255328044223461,-0.1786561264822134,0.24030986705941507,0.016079735786180858,0.0028186320355635913
