stage,rho_all_organs,p_all_organs,n_all_organs,rho_foreground_only,p_foreground_only,n_foreground_only
dec1,0.5659340659340659,0.04379259223545486,13,0.5384615384615385,0.07089431754922311,12
dec2,0.15384615384615383,0.6157988686488813,13,-0.07692307692307693,0.8121826980280591,12
dec3,0.11538461538461539,0.7073898735142603,13,-0.1258741258741259,0.696683109395766,12
dec4,0.6263736263736264,0.021988602409889674,13,0.5664335664335665,0.054842119775407906,12
