epoch,num_heads,lambda_bal,train_loss,val_loss,val_score,head_cosine_train,head_cosine_val,balance_loss_train,balance_loss_val,router_entropy_norm_train,router_entropy_norm_val,lambda_hard,hard_organ_routing_loss_train,hard_organ_routing_loss_val,val_router_util_H1,val_router_util_H2,val_router_entropy_dec1,val_router_entropy_dec2,val_router_entropy_dec3,val_util_dec1_H1,val_util_dec1_H2,val_util_dec2_H1,val_util_dec2_H2,val_util_dec3_H1,val_util_dec3_H2,train_liver_pos_dice,val_liver_pos_dice,val_liver_pos_iou,train_spleen_pos_dice,val_spleen_pos_dice,val_spleen_pos_iou,train_right_kidney_pos_dice,val_right_kidney_pos_dice,val_right_kidney_pos_iou,train_left_kidney_pos_dice,val_left_kidney_pos_dice,val_left_kidney_pos_iou,train_stomach_pos_dice,val_stomach_pos_dice,val_stomach_pos_iou,train_pancreas_pos_dice,val_pancreas_pos_dice,val_pancreas_pos_iou,train_gall_bladder_pos_dice,val_gall_bladder_pos_dice,val_gall_bladder_pos_iou,train_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_iou,train_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_iou,train_duodenum_pos_dice,val_duodenum_pos_dice,val_duodenum_pos_iou,train_esophagus_pos_dice,val_esophagus_pos_dice,val_esophagus_pos_iou,train_bladder_pos_dice,val_bladder_pos_dice,val_bladder_pos_iou
1,"[2, 2, 2, 1]",0.1,8.199302802139226,2.9427692001091423,0.5191248218033429,0.9053267563308712,0.8628219891837935,0.0007262272543575828,0.006131204350042289,0.9671472572599719,0.9420876793580261,0.0,0.0,0.0,0.4734443507226957,0.5265556598196224,0.9546597982480142,0.9361532333216159,0.9354499443318027,0.4644704296880839,0.5355295510519118,0.452998333507114,0.5470016456109866,0.502864246262985,0.4971357346797476,0.691598921023392,0.8361672916619892,0.7595668441140732,0.6100983485287194,0.8285513306346098,0.7633946082499287,0.46574004229455573,0.8365398712243195,0.7631961699992789,0.4366819589884559,0.8438389407476985,0.7755324668898786,0.5912422203520844,0.7172390628481751,0.6137479814093183,0.3095238898376525,0.4157712085031231,0.30563101113852414,0.42037394341156004,0.5838237966522477,0.4907918966669736,0.0029452185175327227,3.960357585303715e-09,3.960357585303715e-09,0.00021272525407078737,4.078457523627199e-09,4.078457523627199e-09,0.23515853807261222,0.4294559150236078,0.3012187844452398,0.0009893672555430172,2.7751425785478347e-09,2.7751425785478347e-09,0.5564335119039885,0.7381104335303857,0.6514411404929684
2,"[2, 2, 2, 1]",0.1,4.970086810000729,2.0992741298011945,0.5995855340407089,0.8360702196079769,0.8199753082798722,0.0023572903954844227,0.0081638131975478,0.9293731122662984,0.9131761747422943,0.0,0.0,0.0,0.4931217984142217,0.5068782109116751,0.9313496052543052,0.9208741820588404,0.8873046796067772,0.45345668457532956,0.5465432939345605,0.46793468185022574,0.5320652983491383,0.5579739846204684,0.44202599388942154,0.8716116472181303,0.893143293766457,0.8321481847281879,0.8671905619135767,0.895098503150845,0.837535410907703,0.8655716379683627,0.893812791633033,0.8304267176566419,0.8805404392410002,0.8915905455504328,0.8366421982443607,0.7716697806397881,0.7715808485964143,0.6775484949031396,0.6545011819694204,0.6271566840797672,0.5003332539782384,0.6961465435967295,0.6781509185862727,0.5725021512996222,0.0073037537502627,0.28116639334035615,0.19426817690659895,3.5418981883755177e-09,4.078457523627199e-09,4.078457523627199e-09,0.5722431527618844,0.4957028267846391,0.37403579878828175,2.522844411011839e-09,2.7751425785478347e-09,2.7751425785478347e-09,0.7348644564298566,0.7676235961466891,0.6835714259900002
3,"[2, 2, 2, 1]",0.1,3.412587331798271,1.5949304032075204,0.7241836235227087,0.7928744328748332,0.7756887416180029,0.0028743597302242486,0.005512126809687271,0.9035419361307918,0.8960537896945633,0.0,0.0,0.0,0.4910111453662924,0.5089888655814995,0.9238610970460368,0.9032809480247584,0.8610192664356189,0.46276305727407235,0.5372369238713972,0.4884201287547477,0.5115798515121953,0.5218502067519424,0.47814977006847353,0.9079720933716661,0.9054624373766554,0.8501837403918503,0.9101989225845527,0.901723078497604,0.8470799111493922,0.912906080017489,0.9147697740727337,0.8593078725319943,0.9231339778671164,0.8849017727028222,0.8307316146317401,0.8158943168959247,0.7515941424977418,0.6636585080780663,0.7193168126039514,0.6237723051320514,0.5045930828044617,0.7610164550358791,0.6652664976238842,0.5734859945157615,0.5010266818439933,0.5374550957887522,0.4039463536913718,0.15238112628379177,0.5411441901777679,0.400245983619976,0.668015685176862,0.48848257428036296,0.3680710275691767,0.35211105963850353,0.6696547946191655,0.5384655306059604,0.7949179436555539,0.8059768195029634,0.7290681386477079
4,"[2, 2, 2, 1]",0.1,2.2256820023726704,1.3607777675269375,0.7486397261655989,0.7591992682937261,0.7546760738571755,0.0019364485165913534,0.004685113750648629,0.8849183259794546,0.8803966537354484,0.0,0.0,0.0,0.478299083150163,0.5217009250944704,0.9055435683181227,0.8853866686356041,0.8502596647831318,0.4749369895647442,0.5250629852958818,0.4778288038544644,0.5221711745202676,0.4821314196737986,0.5178685587685125,0.92186222578303,0.9175772587943485,0.8661015693490983,0.9194477320564296,0.9011609402703199,0.8444981927885036,0.9245032765020774,0.8918085007569362,0.8392325466687524,0.9306303196499086,0.8977431798954776,0.849739630352751,0.8359306001603478,0.80306088263326,0.7189654291674096,0.747381217065424,0.683334243308638,0.5556047378344622,0.7918305252190465,0.6165529907120255,0.5252872509260134,0.6266176355925202,0.5843910972842732,0.44110509895145633,0.6132591474974869,0.5848412703399917,0.4527087192623816,0.7087850666787493,0.5771779344201307,0.4537381386578643,0.7307990923972979,0.7315870016905872,0.6037308464581098,0.8169986007468022,0.7944414138811975,0.7204296166778136
5,"[2, 2, 2, 1]",0.1,1.9419979807888503,1.2845545633717446,0.7659230779832349,0.7516050155639242,0.7568277959920922,0.0013557393956656176,0.004821912129283971,0.8793145460324638,0.8787184614443184,0.0,0.0,0.0,0.5084165010998308,0.4915835050498547,0.906778593993241,0.8794578685511808,0.8499188588049407,0.503233304302168,0.4967666690041419,0.48742977575379975,0.5125702023506165,0.5345863749245667,0.46541360331500736,0.9294908711396341,0.9196437492958428,0.868363330526705,0.926063095173546,0.9274613010680092,0.8814615552620276,0.9299570999766044,0.9191064284941818,0.8694881430522838,0.9348812399123835,0.9075100638037021,0.8561622866684057,0.851837789662969,0.80658585953301,0.7239728485225349,0.768393333118396,0.689902165479777,0.5657804075361513,0.806405020962633,0.6864183245513804,0.5945016674740751,0.6638784841406037,0.6221977631864494,0.4823359849978977,0.6679078180049952,0.5732766407756851,0.437156160066549,0.7352934794258682,0.5972428795136316,0.4724173415179059,0.7768312833888269,0.7224491990254165,0.599378881612984,0.8320549980860938,0.8192825610717325,0.7418292134158362
6,"[2, 2, 2, 1]",0.1,1.7775677546390398,1.2909901967630302,0.7712323890229511,0.7393695443906732,0.754723541996106,0.0011962675280052426,0.0024423751023121857,0.8702286426239842,0.8781916473457873,0.0,0.0,0.0,0.48748688869465506,0.5125131154276616,0.8999685318021277,0.8873310970340997,0.8472752521097525,0.500912757484821,0.4990872115640143,0.4763398696911308,0.5236601097648647,0.4852079992391625,0.5147919802844119,0.9346201796105804,0.9155901507361408,0.864050262076184,0.9307647098043954,0.9180069938014372,0.8684843815143964,0.9339333760272572,0.9221801499837772,0.8692571666176199,0.9394815144846577,0.9039707128559916,0.8562472415318857,0.8644814878005554,0.7974924992928722,0.7180182000893307,0.7846799759542926,0.7069596693495818,0.5846460275068087,0.8254088214204188,0.6956541424233427,0.6029864797507137,0.692842900103788,0.606482090411988,0.45478932559490204,0.6982969506609032,0.6198188369163818,0.4848785145979809,0.7561616299409472,0.6023996933746939,0.47759277051681354,0.7986658745573448,0.7509387962960319,0.6312502623755313,0.8457179038353829,0.8152949328331737,0.742104555641006
7,"[2, 2, 2, 1]",0.1,1.660482962654192,1.237987796963531,0.7737448431376287,0.7311883268835802,0.7209123396008463,0.000961349271245913,0.004432379636697702,0.8646299664548575,0.8556648453617313,0.0,0.0,0.0,0.5185845578744027,0.48141544854559865,0.8852306746301197,0.8668333940765485,0.8149304093957759,0.5110881302902758,0.4889118406507704,0.4872015847775942,0.5127983948135593,0.5574639061816425,0.4425360735446688,0.9380048651859375,0.9258190163749558,0.8777212213154502,0.9349454027558941,0.9265513094479894,0.8812755892017093,0.9372344503303123,0.9306877278519654,0.8821699780072321,0.9417574546493808,0.9181403340144977,0.8704633264203612,0.8748414463186189,0.8019331708123387,0.7247099952286752,0.7967703267900735,0.6943964377623003,0.5699548728646813,0.8355234573627365,0.7005883380035023,0.6185374753109969,0.704550155599469,0.5874266379182064,0.4552777408461753,0.7189742550069068,0.6148112671810662,0.48166867051515305,0.7714860189077697,0.6176538440824088,0.4868657048148832,0.8152362362615518,0.7478174143028989,0.6247131507279357,0.85408118703677,0.8191126198994141,0.7488194568838908
8,"[2, 2, 2, 1]",0.1,1.5775212129380516,1.2518019452373672,0.7817877588813813,0.7263712166317686,0.7421880930729734,0.0006360322654564418,0.0028102048511552875,0.8614068404887654,0.8693373600641886,0.0,0.0,0.0,0.49864312377916714,0.5013568787888334,0.8842351852901398,0.8801842364324194,0.8435925930535713,0.514319263483121,0.4856807036735033,0.4948986559227751,0.50510132420901,0.4867114059779109,0.5132885717886105,0.9404962754063975,0.9193878887341324,0.8707796550373162,0.9365515629553246,0.9293816224402213,0.8844302243491973,0.9392999626926134,0.9275710872439715,0.8781841881773345,0.942938288773376,0.9118287009740137,0.8658746910012268,0.8823459279061402,0.7771373489043959,0.698080577499545,0.8086003664130258,0.6934390563897174,0.575552480506064,0.8438053945681363,0.7437427815781018,0.649495768456537,0.7226641404500921,0.6531901918029109,0.5120633676391533,0.7333187181467683,0.6166744322623484,0.4877237187913404,0.7831512268850369,0.629049291980637,0.5014960489793078,0.8254486815847863,0.7583498546995272,0.6387659030593393,0.8595857065853283,0.8217008495665978,0.748320303404911
9,"[2, 2, 2, 1]",0.1,1.5131735527966337,1.1473392510458138,0.7873901352850456,0.7195625796082379,0.7344803630359589,0.0008023304777076714,0.0021980572924184807,0.8546533133052083,0.8652842813878914,0.0,0.0,0.0,0.5026235504755898,0.49737645330883207,0.885541500958726,0.8584649400646184,0.8518463431302111,0.5057560646074429,0.49424389923781226,0.5081377384208497,0.4918622413054615,0.49397680548583567,0.5060231726861595,0.9426646769899533,0.9259766211160654,0.8788507658603784,0.9396188497082906,0.9295641460876667,0.8843099681811558,0.9406681448573009,0.922595076009397,0.8744847078890544,0.9450464463598748,0.912719378064885,0.8652900774195623,0.8928701181862124,0.8259152500040877,0.7463492503507684,0.8135712558085325,0.716565171393166,0.5924313731748534,0.848780123167714,0.720575124654903,0.6335865830561318,0.7330447275246522,0.6421190291142866,0.5015138965819559,0.7409701175280586,0.6489200816708105,0.5218536744166299,0.7941266728333596,0.6295489258551408,0.5063137961636854,0.832433738761641,0.76965959245604,0.6538255499648448,0.8653952515158996,0.8045232269940993,0.7316647217570883
10,"[2, 2, 2, 1]",0.1,1.4494251713196393,1.208759977029691,0.7801862711315444,0.712936683670226,0.7074264539342349,0.00061443935391552,0.0039617736980642245,0.8507319888664298,0.8360362757090268,0.0,0.0,0.0,0.5088812247290363,0.4911187794608594,0.8553958647375475,0.8438389181009496,0.8088739938746774,0.4932702597982489,0.5067297070204806,0.5011736997265934,0.49882628047277056,0.5321996660729925,0.46780031250447646,0.9442726898708771,0.9308177181102596,0.8871030249919041,0.9414252897690925,0.9306296761431749,0.8845894339577112,0.9420986168072346,0.9325266153301175,0.8836043300485666,0.9460314050281416,0.9128755663555426,0.8687231302877656,0.8990701662654031,0.8303880629289945,0.7571086989229326,0.822685219194299,0.6977460857227579,0.581721146488992,0.8555307265495944,0.6890926743998693,0.6096944305673369,0.740466233559507,0.6400231533984908,0.5045758652411769,0.7543480240622822,0.6150128958804211,0.4871024310932817,0.802033924889468,0.6076820231518325,0.4874598352278302,0.8410891606621547,0.7622120492088987,0.6471640456175958,0.8707429915542478,0.8132287329481734,0.7416474811933601
