compare,level,mean_delta,wilcoxon_p,spearman_rho,spearman_p,hard_third_delta,easy_third_delta
H2_seed43,image,5.5295269771649936e-05,0.00030835219057894094,0.029509766118881727,0.0799785641644444,0.007371841286256296,0.000470837617875771
H4,image,0.001395902032387831,0.8242091234648858,0.023769476347938193,0.15850072473771026,0.000898111610506609,0.0021317636265474195
Hproj2,image,0.0046638748676562205,0.7026188263182415,-0.01586748994578619,0.34656636320335493,0.014788364370045243,-0.00020355214853116216
HprojSA,image,-0.008500961762474165,3.024595800797663e-06,0.06147772567839806,0.0002621140261931661,-0.015679993241965735,0.0001723407072992469
StageAdapt,image,0.0014937051642334102,0.21202668745120679,-0.017810500465006415,0.2907177931882784,0.005918939521149183,-0.0031381358296466706
