epoch,num_heads,lambda_bal,train_loss,val_loss,val_score,head_cosine_train,head_cosine_val,balance_loss_train,balance_loss_val,router_entropy_norm_train,router_entropy_norm_val,lambda_hard,hard_organ_routing_loss_train,hard_organ_routing_loss_val,train_liver_pos_dice,val_liver_pos_dice,val_liver_pos_iou,train_spleen_pos_dice,val_spleen_pos_dice,val_spleen_pos_iou,train_right_kidney_pos_dice,val_right_kidney_pos_dice,val_right_kidney_pos_iou,train_left_kidney_pos_dice,val_left_kidney_pos_dice,val_left_kidney_pos_iou,train_stomach_pos_dice,val_stomach_pos_dice,val_stomach_pos_iou,train_pancreas_pos_dice,val_pancreas_pos_dice,val_pancreas_pos_iou,train_gall_bladder_pos_dice,val_gall_bladder_pos_dice,val_gall_bladder_pos_iou,train_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_iou,train_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_iou,train_duodenum_pos_dice,val_duodenum_pos_dice,val_duodenum_pos_iou,train_esophagus_pos_dice,val_esophagus_pos_dice,val_esophagus_pos_iou,train_bladder_pos_dice,val_bladder_pos_dice,val_bladder_pos_iou
1,1,0.1,8.161152648214463,3.0895331767904795,0.5114377077609172,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.7673228323387518,0.8225962949253887,0.7362459149923437,0.5992195474621709,0.8400287751861055,0.7722155782860889,0.45034489786802195,0.7384381847570685,0.6658294490219767,0.46956987945848255,0.7560153819360632,0.6984252818486058,0.5770931617626385,0.708284138037295,0.6134797956368445,0.3657514923434251,0.5668582637643946,0.4293259711276155,0.26774687948449943,0.45941978028525354,0.37221678051982604,0.0004737892652655325,3.960357585303715e-09,3.960357585303715e-09,0.0010210572914271401,4.078457523627199e-09,4.078457523627199e-09,0.2456996235837568,0.39047284737712623,0.2727424349580782,0.09857146972965537,0.12417670340294525,0.07538842148135683,0.5494510597255103,0.7309621154205519,0.6407212817582016
2,1,0.1,4.913663809491271,1.994467546065671,0.6740628716689113,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.8628618657124999,0.8785437843716081,0.8192891819925802,0.8663196381659101,0.901447651556871,0.847082587614909,0.8490077944678324,0.8957167159367558,0.8362559702577136,0.8728344882505232,0.9073064599188553,0.8490627992452067,0.7738179320224557,0.7819191420363457,0.6927468490336113,0.6622530358358031,0.6673329815706286,0.5320557601705984,0.6856033796746019,0.6510016911896076,0.5613644087989729,0.027589788469959933,0.2874399434607941,0.20316771652119545,0.10560087815149773,0.5520488440803285,0.4122824327259931,0.5729167620411811,0.5446237588927513,0.41431783053123894,0.19102899398105191,0.25235502869603244,0.17092242669076924,0.7360556234910693,0.7690184583163571,0.6920091032068504
3,1,0.1,3.0677788156998176,1.4990942120822917,0.7308390763818094,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9044641070111117,0.8999229826483739,0.8421565323764177,0.9093587521594345,0.9107775295092131,0.8580066483507371,0.9029773153172952,0.9043094177468701,0.8476227367943702,0.9183640333933737,0.8943287333549528,0.8391970365705012,0.822620199698276,0.77521433240952,0.6883887504482348,0.7223947038012255,0.6432674491542896,0.5193655037705189,0.7551725688388595,0.661570476435556,0.577433659334341,0.48226873874642845,0.499733141782164,0.3662335335471424,0.5932940894782727,0.5751267999841686,0.44314377810101796,0.6604631382230763,0.5715513532273023,0.43914951206057407,0.5233427632804116,0.6417142280070237,0.5135326559348159,0.79330321384011,0.7925524723222789,0.7117948520909035
4,1,0.1,2.2061440759030315,1.2995416882853386,0.759732393094033,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9204824179106829,0.9100379140517689,0.8567036339388924,0.9185015486375583,0.9134786777126397,0.8658399251250111,0.9239681259730045,0.9192877758235831,0.8671307721180129,0.9287759769486897,0.9009708830418461,0.846483243009943,0.8433184948448912,0.8027810374772696,0.7230927604716239,0.7475465920559345,0.6789166236714305,0.5520525124747218,0.7891238029322619,0.6917243583720671,0.5996302912360847,0.6250143591547291,0.5962612622256531,0.452015364957002,0.6546930930247287,0.5908527107992021,0.4619212251566126,0.6996473307078827,0.590851346820398,0.4586916864038709,0.7357500347630045,0.723450454766609,0.5994632565781493,0.8182221548951966,0.7981756723659281,0.7164404505717206
5,1,0.1,1.9332588214599902,1.3853203102087168,0.7558867340440059,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9279411626495974,0.9145040915312953,0.8636167270149152,0.9261820692229149,0.9043301470779084,0.8533571997089275,0.9307526598200823,0.9227861677203815,0.8692464262968739,0.9352349350000315,0.9064881810178906,0.8575019485303372,0.858586615712709,0.7668393462582647,0.6867615187040947,0.7652650096021233,0.680982618933694,0.5588302270339903,0.809258687205291,0.6237407312515247,0.5409094288122704,0.6662223039588743,0.5872551683464318,0.45228660219036515,0.6932627596167519,0.6129600547086674,0.47998910301634096,0.7302834230610289,0.6153936340735416,0.4863882727084898,0.7783084800279932,0.7364473014046413,0.6133258341572321,0.8343246483625002,0.798913366203829,0.7271790232437854
6,1,0.1,1.7704404158228944,1.2689577838603288,0.7681936106309394,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9331669976857222,0.9205782311253052,0.8702304974644471,0.9315359206209728,0.9010367835665024,0.8480559568663315,0.9351307085806033,0.9132670921258902,0.8569971278543872,0.9379892725186539,0.9109037155032436,0.8619338298511623,0.8715791168389956,0.815193560809544,0.7401537107049115,0.78344757950698,0.68011893906847,0.5597394644331999,0.8251890450887808,0.7161086134525078,0.6279105724209355,0.68894469647691,0.5777777462406496,0.42994457962414506,0.7127971566622069,0.6132199056599221,0.48201990992802296,0.74972607919128,0.6039070952975705,0.4784669914087854,0.7974936486523315,0.7565496815674889,0.6373358917588025,0.8451386925304464,0.8096619631541786,0.7352724960846891
7,1,0.1,1.6638024466432786,1.231331214016725,0.7763091558892968,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9369676755511984,0.9165068375544747,0.8651418492294384,0.9342888932625828,0.9196564082542427,0.870547808362709,0.9364423643236118,0.9332236850578955,0.8856830287588204,0.9413318316991237,0.9224971881518673,0.8733907579331471,0.8815047903842836,0.8059298340974578,0.7299580951586312,0.7939983201616974,0.6860873175640275,0.5644162423269953,0.8348822735600525,0.6950598837663751,0.613939537342475,0.7102347908814933,0.6465905254761922,0.503584245730292,0.7291573660701266,0.5961412483806404,0.46847902587058,0.765690883930066,0.6247705843753959,0.4946670079656544,0.8138330452272096,0.7584217073224289,0.6405481214230684,0.8521878015589096,0.8108246506705638,0.7367359320499862
8,1,0.1,1.572477381821319,1.2010226361506435,0.784805703592706,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9397533746385685,0.9233116433318641,0.8756092305699394,0.9376119216276186,0.9258088353287759,0.8800036954948801,0.9399617115508926,0.9270647097684535,0.8775151697284889,0.9427152172903545,0.9254669979005232,0.8786927192969544,0.8871430688518303,0.8090801626539379,0.72907585115494,0.8059465226489028,0.7060290477080228,0.5815529050472719,0.8450062669096706,0.7024877198428501,0.6190283377633781,0.723339480012753,0.6597530213253336,0.5199575549469585,0.7431002618340434,0.6265252370227272,0.49817317853997695,0.7815659620468678,0.625535267030211,0.4990960262503124,0.8221573318223785,0.7663970404353581,0.6470645586469848,0.8619937407257209,0.8202087607644147,0.7463756164498418
9,1,0.1,1.5064668080275785,1.2004126647984024,0.7856217968733556,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9419167062595671,0.922593299926746,0.8737061326013834,0.9391003080668823,0.9256127114519189,0.8803727417666479,0.9411886642781278,0.9297387173714646,0.8822195744125683,0.9450318136200109,0.920490407683566,0.8750235536614667,0.8933840724969884,0.818954858471954,0.746191476683279,0.8127141793076298,0.6993923078212957,0.5802878143044005,0.853520222285577,0.7001388931385398,0.6197389514193765,0.7367040858743802,0.6606419444724553,0.5243918656184993,0.7551370882102578,0.642760222432175,0.516111125018061,0.7908244967406362,0.6317437557372002,0.5055973203208539,0.8316719159104936,0.769737894160836,0.6553123244126242,0.8686121775318689,0.8056565498121157,0.7367852344650885
10,1,0.1,1.4409642967888188,1.1835097838738058,0.7878479564075308,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.944973610418359,0.9299785806684371,0.8846807683449008,0.9418200372429264,0.9293320997111125,0.8838927903748387,0.9419748030451632,0.9250484971540508,0.8772615811314214,0.9458474356794523,0.9257014372757267,0.8787576970370763,0.9002042894621104,0.8155390446148203,0.7406980158715908,0.8200776133769159,0.7142343819918661,0.600116718403545,0.8542843672647866,0.7333878429132102,0.6398327267193363,0.7408577432231569,0.6152733687367465,0.47660260180731273,0.7570303764229506,0.6488799189892459,0.5221986119808992,0.7999404064386619,0.6277677858368852,0.5020865152650665,0.8367201530872734,0.7503850774892937,0.6341335570444095,0.8758689439826779,0.8386474415089749,0.7703242578615302
