stage,organ,strength_seed42,strength_seed43
dec1,background,0.04620363558460239,0.03390674808716665
dec1,bladder,0.06420452842711954,0.020775857866257796
dec1,duodenum,0.2295711276421959,0.06169510099605424
dec1,esophagus,0.04036737880387542,0.12574557442640777
dec1,gall_bladder,0.26556986009551564,0.41263135634905523
dec1,left_adrenal_gland,0.2606122506596651,0.6439869845652516
dec1,left_kidney,0.5158200998217439,0.6785252162096673
dec1,liver,0.03393194887241391,0.4110389352408972
dec1,pancreas,0.5830720322587939,0.3509086966191468
dec1,right_adrenal_gland,0.6343999505566504,0.3085409761379342
dec1,right_kidney,0.2027123606798682,0.04107949714622938
dec1,spleen,0.7858784612485408,0.6865960232048064
dec1,stomach,0.3458713112288956,0.16649703869236143
dec2,background,0.020221499539402332,0.018802348656648205
dec2,bladder,0.5957299989323062,0.5584210003401232
dec2,duodenum,0.3722538830151245,0.2579925708108578
dec2,esophagus,0.28497979261271555,0.45861633058161877
dec2,gall_bladder,0.3724868237579726,0.48416275659504604
dec2,left_adrenal_gland,0.47642905724980444,0.40500640915731867
dec2,left_kidney,0.5649156058353768,0.31256664330395956
dec2,liver,0.26237499411337584,0.23876359281569326
dec2,pancreas,0.2569719247804143,0.3847282215128507
dec2,right_adrenal_gland,0.5923203947634517,0.2008293531802362
dec2,right_kidney,0.644116429756797,0.33875234531566756
dec2,spleen,0.2968034417515444,0.3604313581748628
dec2,stomach,0.04850271660620331,0.406462614687073
dec3,background,0.03476806043642511,0.04172627859567002
dec3,bladder,0.8318063665615607,0.769471897856177
dec3,duodenum,0.8137172509253761,0.055100432099795205
dec3,esophagus,0.7494153047655543,0.6213379279025408
dec3,gall_bladder,0.3506454565591621,0.3158883679612612
dec3,left_adrenal_gland,0.9117071643993864,0.26569733100760007
dec3,left_kidney,0.6194432382892732,0.116937347328393
dec3,liver,0.6318417966986791,0.3459380587237313
dec3,pancreas,0.8456976254261583,0.41467692155696023
dec3,right_adrenal_gland,0.1641145480797439,0.8683615417632753
dec3,right_kidney,0.6457543748641701,0.5788296749986455
dec3,spleen,0.5164164119192438,0.16522021696974543
dec3,stomach,0.5417369406896504,0.7210274103887404
dec4,background,0.09407303077833662,0.013400716374090238
dec4,bladder,0.9642945534643801,0.9882721858272911
dec4,duodenum,0.9700025012356552,0.9945276126997914
dec4,esophagus,0.894647917349412,0.9995826377063322
dec4,gall_bladder,0.5199491042763582,0.5621909794907796
dec4,left_adrenal_gland,0.897643936612214,0.9964199297176942
dec4,left_kidney,0.10667447110228334,0.980121749225119
dec4,liver,0.4542340527868154,0.2523119447906058
dec4,pancreas,0.7275558438380956,0.9932908993653002
dec4,right_adrenal_gland,0.9966284047962424,0.9907309990635742
dec4,right_kidney,0.7786284963197805,0.814450369434612
dec4,spleen,0.7969635119800604,0.6757556947782994
dec4,stomach,0.013085546620758004,0.985311498688691
