epoch,num_heads,lambda_bal,train_loss,val_loss,val_score,head_cosine_train,head_cosine_val,balance_loss_train,balance_loss_val,router_entropy_norm_train,router_entropy_norm_val,lambda_hard,hard_organ_routing_loss_train,hard_organ_routing_loss_val,val_router_util_H1,val_router_util_H2,val_router_entropy_dec1,val_router_entropy_dec2,val_router_entropy_dec3,val_util_dec1_H1,val_util_dec1_H2,val_util_dec2_H1,val_util_dec2_H2,val_util_dec3_H1,val_util_dec3_H2,train_liver_pos_dice,val_liver_pos_dice,val_liver_pos_iou,train_spleen_pos_dice,val_spleen_pos_dice,val_spleen_pos_iou,train_right_kidney_pos_dice,val_right_kidney_pos_dice,val_right_kidney_pos_iou,train_left_kidney_pos_dice,val_left_kidney_pos_dice,val_left_kidney_pos_iou,train_stomach_pos_dice,val_stomach_pos_dice,val_stomach_pos_iou,train_pancreas_pos_dice,val_pancreas_pos_dice,val_pancreas_pos_iou,train_gall_bladder_pos_dice,val_gall_bladder_pos_dice,val_gall_bladder_pos_iou,train_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_dice,val_right_adrenal_gland_pos_iou,train_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_dice,val_left_adrenal_gland_pos_iou,train_duodenum_pos_dice,val_duodenum_pos_dice,val_duodenum_pos_iou,train_esophagus_pos_dice,val_esophagus_pos_dice,val_esophagus_pos_iou,train_bladder_pos_dice,val_bladder_pos_dice,val_bladder_pos_iou
1,"[2, 2, 2, 1]",0.1,8.494185751882968,3.070324963211031,0.5163986691938554,0.8775101250722452,0.8398954819659797,0.0007479419254513438,0.00665543095609562,0.9432197637287769,0.9184485805007606,0.0,0.0,0.0,0.5153658014306135,0.4846342160723377,0.9089044810963326,0.9806210241890818,0.8658201763419067,0.5425116527242725,0.4574883348411984,0.4760582541662549,0.5239417332640581,0.527527451109724,0.4724725365909049,0.6516695574913461,0.7827099659144635,0.7230286653129098,0.6505353260232613,0.8661934197187251,0.8041842857232827,0.4644810633801768,0.7885525446153764,0.7077676325514948,0.4779603493822643,0.8209848467165624,0.7514949381624041,0.5496414414152657,0.7247958177486791,0.6218019573267146,0.3346422923895753,0.5475090070402102,0.41087889512564796,0.24236749076435612,0.589494896218777,0.46019794990035734,0.0027869920800279663,3.960357585303715e-09,3.960357585303715e-09,0.004378863887960222,4.075326614633595e-09,4.075326614633595e-09,0.22683392973433153,0.4180829489119916,0.2871470745438335,0.16017538596539402,0.21991379437581685,0.13935012366673943,0.45671978601349805,0.4385467810299777,0.39001138834819027
2,"[2, 2, 2, 1]",0.1,4.922455949661385,2.0055145942260855,0.6601712092217549,0.8170458442310501,0.81475066543977,0.0032771822793501515,0.012420920181997783,0.9052388033157823,0.8970583348858113,0.0,0.0,0.0,0.53162252943532,0.4683774874594206,0.8851879995966715,0.9773700157530995,0.8286169426781791,0.5690235410417829,0.4309764459830563,0.4892741770836231,0.5107258098060582,0.5365698176041211,0.4634301682042967,0.8249735073755919,0.8911261168543638,0.8337026653290874,0.8809916020875379,0.8914120850168354,0.8340849227474045,0.8686770587382632,0.8884291087736937,0.8284894695632008,0.882465125834131,0.8719089367428599,0.812741629263696,0.7664104147804078,0.7456869334297701,0.6468003092426285,0.6553008689583937,0.63288397477633,0.5016921518642283,0.671686603857817,0.575453379539905,0.4854047151877186,0.15356325930104112,0.3224008128554406,0.22660506067151898,0.30948287531377305,0.5169737475441905,0.3844510665773622,0.5714718044536214,0.5467231177564087,0.4100521194908179,0.248394470484706,0.30873118374055547,0.2104123071729095,0.6815051778129969,0.7303251136307052,0.647185679363809
3,"[2, 2, 2, 1]",0.1,3.0955543012776525,1.4726884126730921,0.7359813449476071,0.7932463937431485,0.8002706529602172,0.004282487341245963,0.01835603347906218,0.8854067259054261,0.8816676944021195,0.0,0.0,0.0,0.48838448335254003,0.5116155296226207,0.8924477362578689,0.9624561191686427,0.7900991731760453,0.5502685030031096,0.44973148456236134,0.4624890234329803,0.5375109621727007,0.4523958821618368,0.5476041034776338,0.9019277223064865,0.8972789816314695,0.8388638030279645,0.9068633224041175,0.9055390866002966,0.8518218568404654,0.9079698629953645,0.9110992709488921,0.8541440178513887,0.9179884332137054,0.912069409475179,0.859797635249619,0.8169013729863401,0.7939764857302845,0.7094405673616779,0.7145208776260262,0.6184069894617776,0.4915433464598431,0.7453355560323129,0.6607259181941841,0.5615784756260558,0.5666551819860004,0.5725056717998244,0.42700746854878596,0.6242807373029416,0.5782878832164013,0.4402551211871215,0.6583806369210822,0.5419608734181393,0.4024956806824143,0.5238309622936775,0.6585363069345282,0.5263886844452681,0.7584306042647109,0.7813892619603086,0.7049226996087642
4,"[2, 2, 2, 1]",0.1,2.218078385125975,1.3182230528885246,0.7517761543363605,0.7821073054657828,0.7818897969328087,0.0031893209464447132,0.011282411645976227,0.8818927623893436,0.8802815832518667,0.0,0.0,0.0,0.5154409574813583,0.4845590586024347,0.8919716569301492,0.9730257043222181,0.7758473206539543,0.5586073566185914,0.44139262831129994,0.4855434087668957,0.514456577514575,0.5021720556309974,0.49782793125868385,0.9183050510621488,0.9120411232122062,0.8576759769787876,0.9206229386799272,0.9038849237133963,0.8520360863051916,0.9241391954823873,0.9049526706123251,0.84948839596577,0.9302484337538363,0.9085492815500795,0.8568556363656248,0.8410589132023707,0.8025414614669376,0.7161286399882725,0.7419809587020639,0.6541645448045166,0.5263589870079359,0.780359979175478,0.7136477010003253,0.6078303353052208,0.6340324053578101,0.5675094345981077,0.4322683998799379,0.6706347923013856,0.5812805139489169,0.4539805624609796,0.7004338574685226,0.5742841483967378,0.44572925310209566,0.7386689096913248,0.6851545456723359,0.5537951858775494,0.8111814100402465,0.8133035030604397,0.7344851896762579
5,"[2, 2, 2, 1]",0.1,1.9476603722788262,1.2679139474040235,0.7682883075029493,0.7763424841810096,0.7547047290942566,0.001555571296694155,0.006734051959744124,0.8834149904031676,0.8726826865656846,0.0,0.0,0.0,0.4899320915307588,0.5100679237420868,0.8672076974596296,0.9651074787927052,0.7857328292463912,0.5156248995100831,0.4843750851494925,0.47141726095389885,0.5285827230298871,0.48275406675544186,0.5172459198639237,0.9271574750113131,0.9157077119500032,0.8658528708631172,0.925093075667556,0.9237285694085476,0.8775439762657427,0.9310705362717192,0.9072035233129343,0.8541624151791135,0.934672339561525,0.9139684408394666,0.8656265591189493,0.8557543708402289,0.8026536179408118,0.721964647826798,0.7638692965207733,0.6762198937925205,0.5516484182924056,0.8046358343235617,0.6614750080198613,0.5759339817534825,0.664994223088785,0.621816567156086,0.4787111009048877,0.6988848709503779,0.6377598529932305,0.5002659492982695,0.7293865000003845,0.5884898352283486,0.46194434020109965,0.7800883934198389,0.7561231441060571,0.6334258195895114,0.8324819264158319,0.8143135252875239,0.7370935970713561
6,"[2, 2, 2, 1]",0.1,1.774070587127083,1.3065017494363766,0.7640661785723776,0.7574595028814682,0.7696110423730345,0.001077421400825045,0.010793883208754384,0.8726889043094048,0.8765503681706193,0.0,0.0,0.0,0.49063988979441236,0.5093601266272755,0.8708609154705558,0.9700720735958644,0.7887180528673184,0.5100380823590588,0.4899619029763064,0.48188331006876195,0.5181166759423929,0.47999822971772177,0.5200017584559599,0.9327245408403806,0.9221799438271554,0.8726131199706081,0.9302907210382027,0.9173495165414295,0.8678596842631603,0.934667790031576,0.912841697820623,0.8608974508206385,0.9385154587168246,0.9140212012324046,0.8578319650479782,0.867661761587793,0.7932870957388657,0.7104970277650081,0.7816196157289403,0.6799481514668038,0.5563295981227964,0.8228512385432304,0.7025057685955987,0.6091148611926911,0.6910952658856336,0.5810177890009114,0.44268866513704347,0.7176574845106021,0.6339716052260393,0.5022877421937525,0.751636781857781,0.5691160410216077,0.44234629827942684,0.8011830353789987,0.7528160988402209,0.6325734280123326,0.844449296288548,0.7897392335568706,0.7139016923640434
7,"[2, 2, 2, 1]",0.1,1.676729522897134,1.253643458978387,0.7595211234081165,0.7613732046302857,0.7618011937660425,0.0005956642702104029,0.007444217349616856,0.8770078092521437,0.8768957231590807,0.0,0.0,0.0,0.4951062766062159,0.5048937423158936,0.8788233139887959,0.9689722669367887,0.7828915280009073,0.5108343084382903,0.4891656758158115,0.48315223855496536,0.5168477486726107,0.49133222822159056,0.5086677604251437,0.9364577720610688,0.9173658131499538,0.8668858512474421,0.9335552272785379,0.9256313252172875,0.8778832184877174,0.9371059457228696,0.9064876928303025,0.8534056906952471,0.9406048954901767,0.9073249425469234,0.859055195130014,0.8787540795463845,0.8235589085408651,0.7483002393911441,0.7922478789832298,0.6731598245369131,0.5404179000665214,0.8274040987906597,0.6930290963090626,0.6080601082034428,0.707109427018755,0.4910528254220289,0.3664300548781182,0.7314495872552624,0.6155435906286494,0.48889819825080644,0.7649026854744679,0.5999457001280125,0.47534425925129015,0.8156752559254025,0.7479181198746359,0.6288439420198924,0.8535130620898438,0.8132356417127625,0.7371042485701031
8,"[2, 2, 2, 1]",0.1,1.5879545868363987,1.1758442592448182,0.7823907940631786,0.7515065764994838,0.7411941912979766,0.0004943812868092194,0.010404816905473796,0.8726388420965198,0.8604356484348271,0.0,0.0,0.0,0.49479394610506605,0.505206068086516,0.8772400420268918,0.9652739152346068,0.7387929328985495,0.5024956525588522,0.49750433277651296,0.48815054971885247,0.5118494335215649,0.493735588461904,0.5062643978195667,0.9392467248975579,0.9257615147961332,0.8776410684517891,0.9364535485576018,0.9248003073065437,0.8770566616192977,0.938906746448853,0.9292775246715896,0.8794488124558874,0.9429068457863712,0.9056693390220462,0.8590296518802003,0.8846280066752276,0.8242957996869898,0.7489160838509261,0.7993929726081617,0.6914405914381236,0.5694246560889271,0.8362521620518537,0.7384141862226552,0.6346666092670538,0.718464894134206,0.6346748308737139,0.49350831465391787,0.7433622422242234,0.6216947418029064,0.48985000139715595,0.7795318865310487,0.6059814205726036,0.48335161341367483,0.825223914771982,0.7772996553072804,0.6591981670843732,0.8634316584961035,0.809379617057556,0.7310892112366939
9,"[2, 2, 2, 1]",0.1,1.5188536923364813,1.2164147130148346,0.7835957490961601,0.7475551353346098,0.7515230341022517,0.0005369411174372331,0.016604275117649173,0.8680124267091333,0.8574854495033385,0.0,0.0,0.0,0.48418528199736494,0.5158147354380074,0.8775770811537226,0.9648578064241647,0.7300214044361157,0.5091096602735066,0.490890328035333,0.4811419026921936,0.518858083521698,0.4623042346060682,0.5376957517091919,0.9417932830702348,0.92332755084038,0.8769162970930738,0.9400476355006729,0.9198362267516033,0.874476116497357,0.9403750064380102,0.919963970821133,0.8725711940358283,0.9439948381695615,0.9013237188224631,0.8556351435704196,0.8916363323041346,0.8183933934657386,0.7447868761949438,0.8099525461430467,0.7101025899409058,0.5860412400126921,0.8471540798617199,0.7111076920105148,0.6229591842805066,0.7268297004993731,0.6464756590558214,0.5102627043131028,0.7499495860218108,0.6420664462864752,0.5133657468979241,0.7874295694507832,0.6186383710773808,0.4947403313516436,0.8326384235170601,0.7698795145107923,0.6548108724619899,0.8686583880777802,0.8220338555707126,0.7477446766337826
10,"[2, 2, 2, 1]",0.1,1.460291633900646,1.216489211266537,0.7839260489733939,0.7406829951365146,0.7517585704386099,0.00035462417536984175,0.010192632153632902,0.8630267186372088,0.8679034376090347,0.0,0.0,0.0,0.49523881321050683,0.5047612046979182,0.876971524183442,0.9681339359878142,0.7586047853472011,0.5065276056460513,0.4934723806354194,0.49377531407912034,0.5062246711210869,0.48541347500012844,0.5145865134100795,0.9434391618928682,0.9249590011752655,0.8795981563657693,0.9419230364942395,0.9303742938305414,0.8870859096654586,0.9415324423692792,0.92938110862987,0.8814457381049896,0.9447058501554956,0.9263610707617004,0.8823448129611149,0.8960678062496565,0.8054464965605744,0.7332358541533105,0.8174489411455432,0.6949024208283296,0.5721637800398377,0.8519695365374862,0.7081285874726492,0.6250745671506952,0.7392192172553026,0.6559303125761899,0.515568661495774,0.7597794770675577,0.6474293113793604,0.5163387839073459,0.8006058972416785,0.6239072639603324,0.4979631953869854,0.8374897171179294,0.7449355741264299,0.6259737367999103,0.8752218934760501,0.8153571463794844,0.7443453156432824
