compare,level,n,mean_delta,wilcoxon_p,spearman_rho,spearman_p,hard_third_delta,easy_third_delta
H2_seed43,patient,45,-0.0028204158359031732,0.18470849920123555,-0.07022397891963109,0.6466742748075025,-0.0006922340527109272,-0.004209976828809347
H4,patient,45,0.0034153886526650658,0.43312024361824797,-0.09723320158102765,0.5251585643031905,0.0046037789175180565,0.0032935441387185924
Hproj2,patient,45,0.0015010345494060884,0.8756638436483968,-0.22397891963109356,0.1391188537293334,0.007148745923203093,-0.0022112254107211774
HprojSA,patient,45,-0.007108737634802598,0.014213166138574707,0.20197628458498024,0.18334326588586514,-0.013024744294157986,-0.005334648237919123
StageAdapt,patient,45,-0.0004659787626334813,0.8933133075834689,-0.14005270092226613,0.35882937450869185,0.003424818795160463,0.0010430360270620462
