compare,level,mean_delta,wilcoxon_p,spearman_rho,spearman_p,hard_third_delta,easy_third_delta
H2,image,0.01065520948961264,5.685433905742948e-25,-0.05684356905048125,0.0007394576298688416,0.01717277197216244,0.00442302389632857
H4,image,0.00974859723650264,3.1712220351116387e-22,0.0057698724096314075,0.7321597075943024,0.009412114901236644,0.008675055773666753
Hproj2,image,0.013016570071771032,1.185548286787165e-19,-0.05571507872854567,0.0009416048306059917,0.024822757705879505,0.005608547983876883
HprojSA,image,-0.000148266558359355,0.00012134653474626178,0.024701834366685597,0.14279519632651339,-0.007782634389709372,0.003798802287174104
StageAdapt,image,0.00984640036834822,3.9857113431838177e-17,-0.05108206395195464,0.002429299659584524,0.014841119884702745,0.004071503229763198
