stage,head,r_all,r_fg,r_bg
dec1,1,0.4807912231003418,0.5494460173322164,0.4768981822076988
dec1,2,0.5192087779905734,0.45055398321962203,0.5231018189137845
dec2,1,0.508512181925349,0.48032101994010123,0.5101107497697012
dec2,2,0.4914878187138645,0.5196789787867078,0.4898892509779543
dec3,1,0.5127424033511858,0.4308860996942979,0.5173840302182126
dec3,2,0.48725759833451,0.5691139004044707,0.4826159715574692
dec4,1,0.5532726493246167,0.6632485021212594,0.5470365153891683
dec4,2,0.4467273511312424,0.33675149792708825,0.4529634850897985
